n_proyecto,cui,direccion,intervenciones,estado,subestado,eje,nota_de_inicio,pase_dgar,inicio_obra,fin_obra,avance_de_obra_real
x055,0201863,AYACUCHO 632 / PERU 1236 ASCENSORES,Adecuacion y puesto funcionamiento elevadores,En Obra,en obra,Mejora Edilicia,27/6/2022,22/7/2022,22/12/2022,29/7/2023,39%
x056,0200666,ALMTE. FRANCISCO J. SEGUI 2580,"Biblioteca, sala maestros, filtraciones",Finalizado,finalizado,Mejora Edilicia,15/12/2021,19/5/2022,20/10/2022,23/2/2023,100%
x057,0200821,CUZCO 116,Cambio de cubiertas. Reacondicionamiento sanitario. Reparaciones varias. Pintura. Instalacion electrica completa,En Obra,en obra,Mejora Edilicia,11/10/2021,27/12/2021,26/9/2022,23/6/2023,55%
x058,0200428,AVDA. CURAPALIGUE 1150,Refaccion integral edilicia accesibilidad plena carpinteria y pintura patio,Licitación,licitación,Mejora Edilicia,26/10/2021,25/1/2022,25/5/2022,20/1/2023,NA
x059,0200665,FITZ ROY 171,"Accesibilidad basica,  cubierta, pintura hall y patio. Instalacion electrica completa",En Proyecto,a enviar a cyp,Mejora Edilicia,23/11/2022,24/4/2023,22/8/2023,18/2/2024,NA
x060,0200136,AVDA. SAN JUAN 2277,Proyecto de accesibilidad y pintura general. Agregar impermeabilización. Expediente: construccion de galeria en patio para paso (jardin),Planificado,banco de proyectos,Mejora Edilicia,01/05/2023,28/9/2023,26/1/2024,23/8/2024,NA
x061,0200326,CARLOS CALVO 3150 - LA RIOJA 1042,2 aulas de jardín. Accesibilidad plena adecuacion pintura acceso y circulaciones. Casa casero,Licitación,licitación,Mejora Edilicia,9/11/2021,17/1/2023,17/5/2023,12/3/2024,NA
x062,0202179,LOS PATOS 3004,"Puerta, ampliación aulas",Licitación,licitacion,Mejora Edilicia,18/10/2021,29/12/2022,28/4/2023,24/12/2023,NA
x063,0200794,MERCEDES 4002,", Adecuacion de cubierta, pluviales, carpinteria. Arreglo de revoques en aulas y patio. Adecuacion pintura interior de areas significantes y patio. Agregar sdf",Licitación,licitacion,Mejora Edilicia,11/04/2022,13/3/2023,11/7/2023,6/5/2024,NA
x064,0200253,JUAN CARLOS GOMEZ 253,"Acondicionamiento inst electrica incendio, carpinteria arreglo de revoque y piso patio + adecuacion casa casero para re ubicación aula adecuacion pintura interior pasillos (dgmesc pintaria aulas ) y areas significantes  + patio y fachada",En Obra,en obra,Mejora Edilicia,19/11/2021,7/7/2022,1/12/2022,15/6/2023,23%
x065,0200123,CHILE 1626,"Etapa 2022-23 adecuación de cubierta, patio, instalación eléctrica completa (amparo) y pintura",En Proyecto,en proyecto/instalaciones,Mejora Edilicia,03/10/2022,15/5/2023,12/9/2023,9/2/2024,NA
x066,0200032,CARLOS PELLEGRINI 1515,Proyecto terminado por sum,Licitación,licitación,Mejora Edilicia,04/07/2022,17/10/2022,14/2/2023,12/9/2023,NA
x067,0200552,AVDA. SAN PEDRITO 1415,"Patio cubierto, creacion de un comedor con sanitarios",Planificado,a iniciar proyecto,Mejora Edilicia,01/05/2023,21/9/2023,19/1/2024,15/9/2024,NA
x068,0200009,TTE. GRAL. JUAN DOMINGO PERON 1140,"Adecuacion de cubierta , sanitario ,electricidad , cielorraso , carpinteria                                                          arreglo de revoques  en aulas y patio                                                                 adecuacion pintura interior de areas significantes  y patio",Planificado,banco de proyectos,Mejora Edilicia,30/6/2023,12/11/2023,11/3/2024,7/9/2024,NA
x069,0200777,HELGUERA 2435,"Acondicionamiento  de cubierta , cocina , inst electrica + gas e incendio , arreglo patio y  muros con sus revoques                                                                                        adecuacion  pintura interior de areas significantes  y patio",Planificado,banco de proyectos,Mejora Edilicia,28/4/2023,23/9/2023,21/1/2024,19/7/2024,NA
x070,0200797,PEDRO LOZANO 3056,Impermeabilizacion parcial y pintura de cielorrasos. Albañileria. Reparacion de escaleras. Humedad de cimientos.,En Proyecto,cyp,Mejora Edilicia,2/8/2022,9/4/2023,7/8/2023,2/6/2024,NA
x071,0200508,ROQUE PEREZ 3545 (amparo),Amparo - accesibilidad plena y pintura parcial + ie ajustar,En Proyecto,en proyecto,Mejora Edilicia,1/3/2023,7/7/2023,4/11/2023,2/5/2024,NA
x072,0200728,TRONADOR 4134,"Reparación de humedad de cimientos, reparación de las mamposterías afectadas y pintura integral. Impermeabilización de cubiertas, en sector con filtraciones y respiración de cielorrasos.
Acondicionamiento de baños",Planificado,banco de proyectos,Mejora Edilicia,17/07/2023,24/11/2023,23/3/2024,19/9/2024,NA
x073,0200088,AVDA. ANGEL GALLARDO 246,"Restauracion patrimonial,impermeabilizacion, cielorrasos, acondicionamiento instalaciones y  pintura patios",Licitación,f14 - dgar,Mejora Edilicia,21/3/2022,12/7/2022,9/11/2022,7/7/2023,NA
x074,0200298,CATAMARCA 462,Pintura general y arreglos de algunos sectores de revoque.,En Obra,en obra,Mejora Edilicia,-,25/07/2022,20/1/2023,11/4/2023,80%
x075,0200729,QUESADA 4357,Acondicionamiento de pisos y cielorraso. Revision de instalacion electrica.  Provisión de agua. Arreglo de revoque en fachada internas. Adecuacion de sanitarios. pintura completa. Humedad de cimiento sobre medianera. Intervencion casa del casero.,En Proyecto,en proyecto/instalaciones,Mejora Edilicia,15/11/2022,12/5/2023,9/9/2023,7/3/2024,NA
x076,0200950,AVDA. LARRAZABAL 4520,"Instalación eléctrica completa, filtraciones, cambio de parasoles, pintura general",En Proyecto,a cerrar pliego,Mejora Edilicia,23/05/2022,24/3/2023,22/7/2023,16/7/2024,NA
x077,0200530,CUBA 2410,"Instalacion electrica y  termomecanica, filtracion por cubierta.",Licitación,licitación,Mejora Edilicia,10/05/2022,1/2/2023,1/6/2023,27/1/2024,NA
x078,0200354,CAMARGO 725,"Acondicionamiento  de acc basica cubierta (nueva toda la cubierta del gym),inst electricidad,  incendio, cambio calera, prov agua  arreglo menores de revoquers patio. pintura genereal.  provicion de moviliariio para guardado",Licitación,licitación,Mejora Edilicia,01/02/2022,12/9/2022,10/1/2023,9/7/2023,NA
x079,0200302,HUMBERTO Iº 3171,"Acondicionamiento  de acc basica, sanitarios , inst electrica e incendio, prov de agua , cielorraso   , carpinteria ,arreglo patio y  muros con sus revoques. pintura  y patio",En Proyecto,control doc,Mejora Edilicia,08/03/2022,18/3/2023,16/7/2023,11/5/2024,NA
x080,0200962,AQUINO 6040,"Instalacion electrica, mejorar patio, sanitarios, y accesibilidad basica. Ampliacion de aulas region v (4 / 5 aulas), ver posibilidad de cambio de sistema de calefaccion",En Proyecto,en proyecto,Mejora Edilicia,18/1/2023,10/7/2023,7/11/2023,#VALUE!,NA
x081,0200628,LACARRA 1135,"Cubierta, carpinterias (madera, deterioradas), playon de acceso, puesta en valor sector original del edificio",Planificado,a iniciar proyecto,Mejora Edilicia,3/7/2023,15/11/2023,14/3/2024,10/9/2024,NA
x082,0200412,DON BOSCO 4200,"Sanitarios y carp, pintura en areas comunes.",Planificado,a iniciar proyecto,Mejora Edilicia,20/3/2023,7/8/2023,5/12/2023,2/6/2024,NA
x083,0200097,AVDA. RIVADAVIA 3577,Reparación de estructura y vitreaux en el salón de actos del 1º piso (ver electrica de las areas a intervenir),Planificado,a iniciar proyecto,Mejora Edilicia,27/3/2023,9/8/2023,7/12/2023,4/6/2024,NA
x084,0200496,CUBA 2039,"Sanitarios, cubierta, carpinterias y pintura",Licitación,licitacion,Mejora Edilicia,13/7/2022,27/2/2023,27/6/2023,23/1/2024,NA
x085,0200497,MOLDES 1858,Sanitarios y patios / ie completa,Planificado,a iniciar proyecto,Mejora Edilicia,19/4/2023,3/9/2023,1/1/2024,29/6/2024,NA
x086,0200501,AVDA. CABILDO 3615,"Sanitarios, impermeablizacion y pintura / ie completa",Planificado,a iniciar proyecto,Mejora Edilicia,30/6/2023,17/11/2023,16/3/2024,12/10/2024,NA
x087,0200178,AVDA. DON PEDRO DE MENDOZA 1835,"Acondicionamiento  de cubierta, instalacion sanitario, electrica e incendio. Arreglo de revoques menores en aulas.  Adecuacion pintura interior de areas significantes  y patio.",En Proyecto,en proyecto,Mejora Edilicia,12/04/2022,22/5/2023,19/9/2023,#VALUE!,NA
x088,0200568,AVELINO DIAZ 2356,"Adecuar patios, carps, impermeabilización y reparación de muros afectados, electrica completa, incendio, accesibilidad basica, pintura",Planificado,a iniciar proyecto,Mejora Edilicia,12/5/2023,24/9/2023,22/1/2024,19/8/2024,NA
x089,0200001,AYACUCHO 1680,Facahadas y carpinterias / aula de gines,Planificado,a iniciar proyecto,Mejora Edilicia,27/3/2023,24/8/2023,22/12/2023,19/7/2024,NA
x090,0202391,DR. ANTONIO BERMEJO 6675 -MODULARES BERMEJO,Adaptacion de modulares en un cfp / acceso independiente / cambiar sanitarios / instalaciones/ aula,En Proyecto,f14 - cyp,Mejora Edilicia,14/01/2022,NA,10/9/2022,10/9/2022,NA
x091,0200600,GRAL. VENANCIO FLORES 3869,Ampliación - rehabilitación parcial - instalación eléctrica,En Obra,en obra,Mejora Edilicia,NA,03/02/2022,1/11/2022,28/8/2023,14%
x092,0200498,JUANA DE AZURDUY 2541,"Acond de sanitarios, prov de agua , carpinteria y pintura en areas sgnificativas",Licitación,licitación,Mejora Edilicia,01/06/2022,2/2/2023,02/06/2023,NA,NA
x093,0200918,GOLETA SANTA CRUZ 6997,"Carpinterías, cubierta y pintura en areas significativas",Licitación,licitación,Mejora Edilicia,04/07/2022,26/09/2022,24/1/2023,22/8/2023,NA
x094,0200502,MENDOZA 1000,Accesibilidad plena. Acondicionamiento / recambio de carpinterías y herrajes. Subsanación de grietas en muros. Revestimiento de toda la fachada (se retiró parte del revestimiento de ladrillo original por desprendimiento) / contrapiso a nuevo del patio del comedor / detector de intrusos (alarma / amparo,Licitación,licitación,Mejora Edilicia,20/07/2022,14/02/2023,14/06/2023,09/04/2024,NA
x095,0200427,RIVADAVIA 4950 - COMEDOR,Creacion de un comedor,Licitación,licitación,Mejora Edilicia,21/06/2022,30/11/2022,30/03/2023,26/10/2023,NA
x096,0200523,NATATORIO ROMERO BREST,A definir,Planificado,a iniciar proyecto,Mejora Edilicia,08/08/2023,03/01/2024,02/05/2024,NA,NA
x098,0200516,ROOSEVELT 1510,"Accesibilidad plena (ascensor en patio de planta baja), reutilizacion pb para conformar un aula y acondicionar baño de discapacitado (no funciona griferia y falta timbre) / amparo",Licitación,licitación,Mejora Edilicia,02/09/2022,01/02/2023,01/06/2023,27/01/2024,NA
x099,0200801,BAHIA BLANCA 4025,"Refuncionalizacion edilicia: casa del casero en oficinas de la supervision. Accesibilidad basica, instalacion electrica completa, sanitaria y termomecanica.",En Proyecto,cyp,Mejora Edilicia,15/09/2022,25/03/2023,23/07/2023,NA,NA
x101,0200718,EX YRURTIA  - ALBERDI 4754,"Completo o por etapas de obra / acondicionamiento de aulas, sanitarios y pintura general",Planificado,a iniciar proyecto,Mejora Edilicia,18/04/2023,10/09/2023,08/01/2024,NA,NA
x102,0200179,LAMADRID 499,"Historica. Fachada, patio, instalacion electrica,carpinterias,sanitarios y pintura",Planificado,a iniciar proyecto,Mejora Edilicia,04/08/2023,22/12/2023,20/4/2024,NA,NA
x103,0201864,LACARRA 1151 Y AVDA. FRANCISCO BILBAO,"Fachadas exteriores (desprendimiento de pintura y revoques), humedad en subsuelo y levantamiento de solado, aulas en mal estado (placas de cielorraso faltantes, pinturas con grafitis), patio cubierto con filtración por cubierta de vidrio. Baños: filtración, faltante de cerámicos y artefactos de luz. pintura en general.",En Proyecto,a pasar a cyp,Mejora Edilicia,23/11/2022,25/04/2023,23/08/2023,20/3/2024,NA
x104,0200369,LUIS VIALE 1052,"Patio, demolicion de casa del casero en patio, pluviales del patio, accesibilidad basica, baños",En Proyecto,en proyecto,Mejora Edilicia,09/02/2023,19/06/2023,17/10/2023,NA,NA
x105,0200304,GRAL URQUIZA 277,Casa de casero,Licitación,licitacion,Mejora Edilicia,12/11/2022,14/03/2023,12/07/2023,NA,NA
x106,0200746,JOSE CUBAS 4440,Instalacion electrica + accesibilidad + filtraciones + pintura,En Proyecto,a iniciar proyecto,Mejora Edilicia,22/03/2023,17/07/2023,14/11/2023,NA,NA
x107,0200720,TAMBORINI 3948 - PLANI,"Sanitarios, revoques, patios y pintura.",Licitación,licitación,Mejora Edilicia,17/10/2022,07/02/2023,07/06/2023,NA,NA
x108,0200444,LIBERTADOR 4777,Electrica e incendio / amparo,Licitación,licitación,Mejora Edilicia,-,19/01/2023,19/05/2023,NA,NA
x109,0200016,AYACUCHO 1849,Instalacion electrica,Licitación,licitacion,Mejora Edilicia,23/01/2023,15/03/2023,13/07/2023,NA,NA
x110,0200563,CARABOBO 253 RESCISION,Acondicionamiento de sanitarios pb y 1er. Pintura. Provision de piletones de acero inx. Acondicionamiento de solado en expansion descubierta del 2do piso. Creacion de sanitario para disca en pb. Rearmado de locales con tabiqueria en area de  pb. Colocacion de montaescalera en acceso (pb).,En Proyecto,cyp,Mejora Edilicia,22/11/2022,05/04/2023,03/08/2023,NA,NA
x112,0200441,GURRUCHAGA  739,Instalacion electrica,Licitación,licitación,Mejora Edilicia,18/11/2022,19/01/2023,19/05/2023,NA,NA
x113,0200080,RIO DE JANEIRO 986,"Acc. plena, pintura y adecuacion de instalacion electrica",En Proyecto,en proyecto,Mejora Edilicia,27/02/2023,23/05/2023,20/9/2023,NA,NA
x114,00000AU,AV. ROCA 6902 - AUTODROMO,"Demolicion de mamposterias, tabiques, pisos y canteros. Proveer y colocar reja de proteccion en las ventanas de aula y oficina. Ejecucion de contrapiso, carpeta y solado en sector terraza. Ejecucion de canteros. Provision y colocacion de lockers. Instalacion sanitaria: instalación y colocación de nuevos inodoros pedestal, cambio de placas afectadas por humedad, proveer y colocar accesorios y espejos en los sanitarios.",Licitación,licitación,Mejora Edilicia,14/10/2022,26/01/2023,-,NA,NA
x115,0200442,ZAPATA 449,"Impermeabilizacion, instalación pluvial y pintura",Finalizado,finalizado,Mejora Edilicia,-,-,20/05/2022,16/11/2022,100%
x116,0200006,JUNCAL 690,"Reparacion de cubiertas (inicial y primaria), acc basica (montasilla y baño de disca), pintura general - instalacion electrica de la inicial - sector de sombras inicial y primaria - solado de patio de la primaria e inicial - recambio de carpinterias y colocacion de rejas - evaluacion de instalacion sanitaria + ee: remediacion de rejas",En Proyecto,en proyecto/instalaciones,Mejora Edilicia,7/12/2022,21/5/2023,18/9/2023,16/3/2024,NA
x117,00000EB,ESTACION BUENOS AIRES PRIMARIA,"Creacion de una escuela con 14 aulas comunes, 1 aula de música, 1 aula de
Plástica, 1 aula laboratorio y un espacio para biblioteca.
Además la escuela contara con un s.u.m. cubierto, comedor independiente para la
Población de la escuela, cocina y el área de gestión administrativa completa.",Licitación,f14 - licitacion,Obra Nueva,-,25/11/2022,25/03/2023,15/09/2024,NA
x119,0200644,LACARRA 535,"Cielorrasos, ie del sector",En Proyecto,cyp,Mejora Edilicia,-,03/04/2023,1/8/2023,NA,NA
x121,0200193,"QUINQUELA MARTIN, BENITO 1649 GRUPO -",2do año,En Obra,en obra,SDF,NA,NA,28/12/2022,28/03/2023,40%
x122,0200382,AV. GAONA 1502 GRUPO -,2do año,En Obra,en obra,SDF,NA,NA,NA,26/05/2023,0%
x123,0200575,PUMACAHUA 390 GRUPO 1,2do año,Licitación,esperando documentacion,SDF,NA,NA,NA,NA,DGMESC
x123,0200527,AV. CRAMER 2136 GRUPO 1,2do año,Licitación,esperando documentacion,SDF,NA,NA,NA,NA,DGMESC
x123,0200571,"CNEL. FALCON, RAMON L.,2248 GRUPO 1",2do año,Licitación,esperando documentacion,SDF,NA,NA,NA,NA,DGMESC
x124,0200030,CALLAO AV. 450 GRUPO 2,2do año,En Obra,en obra,SDF,NA,NA,NA,21/04/2023,0%
x124,0200022,LIBERTAD 1257 GRUPO 2,2do año,En Obra,en obra,SDF,NA,NA,NA,20/02/2023,0%
x125,0200963,"CHILAVERT, MARTINIANO, CORONEL 5460 GRUPO -",2do año,En Obra,en obra,SDF,NA,NA,03/01/2023,04/03/2023,55%
x126,0200827,GALLARDO 149 GRUPO 3,2do año,Finalizado,finalizado,SDF,NA,NA,22/01/2023,04/04/2023,100%
x126,0200839,MORON 4149 GRUPO 3,2do año,Finalizado,finalizado,SDF,NA,NA,22/01/2023,23/03/2023,100%
x127,0200319,COCHABAMBA 2830 GRUPO 4,2do año,Finalizado,finalizado,SDF,-,-,10/12/2022,08/02/2023,100%
