n_proyecto,direccion,cui,intervenciones,presupuesto_estimado,presupuesto_final,estado,subestado,fuente,pase_dgar,inicio_obra,plazo_obra,ampliacion_de_plazo,avance_de_obra,fin_obra,expediente,eje
x045,yrupe 6835,0200916,Ampliación de nucleos sanitarios / ampliacion del comedor / instalacion electrica del jardin,NA,101206554,En Obra,en obra,f11,16/1/2023,1/9/2023,210,NA,4%,29/3/2024,ex-2022-46262506- -gcaba-dginfe,mejora edilicia
x046,avda. jujuy 780,0200320,Cambio de chapas y pintura,NA,28313456,Finalizado,finalizado,f11,13/7/2022,20/01/2023,90,NA,100%,20/4/2023,ex-2022-24218818- -gcaba-dginfe,mejora edilicia
x047,avda. pte. manuel quintana 31,0200002,Acondicionamiento de fachadas/ adecuacion de supervision de1,NA,143019856,En Obra,en obra,f11,7/3/2022,1/12/2022,270,NA,38%,30/12/2023,ex-2022-08659747- -gcaba-dginfe,mejora edilicia
x048,vallejos 2555 caf,0200755,"Etapa i2020 adecuacion espacios aulicos y ampliacion comedor pintura, accesibilidad",NA,NA,Planificado,proximo a iniciar proyecto,f11,21/1/2024,20/5/2024,270,NA,NA,14/2/2025,NA,mejora edilicia
x049,jose antonio cabrera 3430,0200085,Reparaciones varias. mejoras en núcleos sanitarios. ejecución cuña desmontable. tratamiento de humedad de cimientos. trabajos sanitarios. instalación eléctrica,NA,30052943,Finalizado,finalizado,f11,9/12/2021,8/7/2022,240,NA,100%,30/7/2023,ex-2021-37226942- -gcaba-dginfe,mejora edilicia
x050,avda. santa fe 5039,0200445,Instalación eléctrica,NA,65295070,Finalizado,finalizado,f11,26/11/2021,8/10/2022,120,60,100%,neutralizada,neutralizada,mejora edilicia
x051,avda. francisco beiro 4418,0200798,"Cielorrasos, instalación iluminacion (taller de cerámica), puesta en valor y refuncionalizacion de la ex vivienda del casero y depositos en pb, carpinterías, instal elect, pintura",NA,35284539,Finalizado,finalizado,f11,24/11/2021,26/8/2022,180,NA,95%,30/8/2023,NA,mejora edilicia
x052,avda. larrazabal 420,0200906,"Reparación en cubiertas, impermeabilización.",NA,29352835,Finalizado,finalizado,f11,16/6/2022,1/12/2022,150,NA,100%,30/7/2023,NA,mejora edilicia
x053,polo saavedra,0202188,"Terminación vestuarios, pileta, sanitarios, estacionamiento, parquizado",NA,429716900,En Obra,en obra,f11,5/9/2022,20/1/2023,330,NA,37%,30/12/2023,NA,mejora edilicia
x054,echeverria 5034,0200708,"Demoliciones varias, reparaciones y provisión de nuevas carpinterías (herreria), accesibilidad basica, sanitario adaptado, patio, pintura gral.",NA,13032053,Finalizado,finalizado,f11,19/3/2022,23/9/2022,120,60,100%,30/6/2023,NA,mejora edilicia
x055,ayacucho 632 / peru 1236 ascensores,0201863,Adecuacion y puesto funcionamiento elevadores,NA,41291383,Finalizado,finalizado,f11,22/7/2022,22/12/2022,120,NA,100%,30/7/2023,NA,mejora edilicia
x056,almte. francisco j. segui 2580,0200666,"Biblioteca, sala maestros, filtraciones",NA,12991258,Finalizado,finalizado,f11,19/5/2022,20/10/2022,120,NA,100%,23/2/2023,NA,mejora edilicia
x057,cuzco 116,0200821,Cambio de cubiertas. reacondicionamiento sanitario. reparaciones varias. pintura. instalacion electrica completa,NA,48586390,Finalizado,finalizado,f11,27/12/2021,26/9/2022,270,NA,81%,23/6/2023,NA,mejora edilicia
x058,avda. curapaligue 1150,0200428,Refaccion integral edilicia accesibilidad plena carpinteria y pintura patio,NA,236690811,Licitación,licitación,f11,13/6/2023,1/11/2023,240,NA,NA,28/6/2024,ex-2023-19719216- -gcaba-dginfe,mejora edilicia
x059,fitz roy 171,0200665,"Accesibilidad basica,  cubierta, pintura hall y patio. instalacion electrica completa",$ 45.000.000,102417254,Licitación,fracasada r,f11,2/5/2023,15/1/2024,240,x,NA,11/9/2024,ex-2023-16016711- -gcaba-dginfe,mejora edilicia
x059,fitz roy 171,0200665,"Accesibilidad basica,  cubierta, pintura hall y patio. instalacion electrica completa",$ 45.000.000,192720101,Licitación,licitación,f11,17/10/2023,14/2/2024,240,x,NA,11/10/2024,NA,mejora edilicia
x060,avda. san juan 2277,0200136,Proyecto de accesibilidad y pintura general. agregar impermeabilización. expediente: construccion de galeria en patio para paso (jardin),$ 60.000.000,NA,Planificado,a iniciar proyecto,f11,21/1/2025,21/5/2025,360,x,NA,16/5/2026,NA,mejora edilicia
x061,carlos calvo 3150 - la rioja 1042,0200326,2 aulas de jardín. accesibilidad plena adecuacion pintura acceso y circulaciones. casa casero,NA,125052938,En Obra,en obra,f11,17/1/2023,15/9/2023,300,NA,0%,11/7/2024,ex-2023-03175368- -gcaba-dginfe,mejora edilicia
x062,los patos 3004,0202179,"Ampliacion de 2 salas con sus respectivos sanitarios (50 m2), un área gestión conformada por 4 oficinas y un comedor con una superficie de 106 m2.",NA,98594743,En Obra,a iniciar,f11,8/6/2023,6/10/2023,240,x,NA,2/6/2024,ex-2023-19793637- -gcaba-dginfe,mejora edilicia
x063,mercedes 4002 - g1,0200794,", Adecuacion de cubierta, pluviales, carpinteria. arreglo de revoques en aulas y patio. adecuacion pintura interior de areas significantes y patio. agregar sdf",NA,252712970,Licitación,licitación,f11,26/6/2023,24/12/2023,360,NA,NA,18/12/2024,ex-2023-22081509- -gcaba-dginfe,mejora edilicia
x064,juan carlos gomez 253,0200253,"Acondicionamiento inst electrica incendio, carpinteria arreglo de revoque y piso patio + adecuacion casa casero para re ubicación aula adecuacion pintura interior pasillos (dgmesc pintaria aulas ) y areas significantes  + patio y fachada",NA,67527137,En Obra,en obra,f11,7/7/2022,1/12/2022,180,NA,99%,30/09/2023,NA,mejora edilicia
x065,chile 1626,0200123,"Etapa 2022-23 adecuación de cubierta, patio, instalación eléctrica completa (amparo) y pintura",$ 45.000.000,183705656,Licitación,licitación,f11,07-08-2023,5/1/2024,300,x,NA,31/10/2024,ex-2023-29328083-   -gcaba-dginfe,mejora edilicia
x066,pellegrini 1515,0200032,Puesta en valor del sum y accesibilidad basica,NA,91749090,En Obra,en obra,f11,17/10/2022,te,210,NA,32%,30/12/23,ex-2022-35364891- -gcaba-dginfe,mejora edilicia
x067,avda. san pedrito 1415,0200552,"Ejecución ampliación y remodelación jic (tal como esta previsto en el proyecto). ejecución de solados patios descubiertos los que deberían incluir el sector que hoy se encuentra con terreno absorbente, desnivelado y con cascotes. construcción de un semicubierto para utilizar como gimnasio. trabajos en muros perimetrales ya que al ser terreno de relleno se producen desplazamientos constantemente, sumado a la rotura de llos mismo por los arboles. idem rejas perimetrales. pintura de herrerías (parasoles, protecciones y carpinterías de chapa y hierro ángulo). puesta en marcha sistema de ventilación (posee los conductos pero solo funciona la calefacción, al ser muy vidriado el edificio los espacios comunes se transforman en grandes hornos, y las aulas poseen poca ventilación al ser de apertura de proyección)",$ 45.000.000,NA,Planificado,a iniciar proyecto,f11,8/8/2024,6/12/2024,360,NA,NA,1/12/2025,NA,mejora edilicia
x068,tte. gral. juan domingo peron 1140,0200009,"Adecuacion de cubierta , sanitario ,electricidad , cielorraso , carpinteria.  arreglo de revoques  en aulas y patio .   adecuacion pintura interior de areas significantes  y patio",$ 40.000.000,NA,Planificado,a iniciar proyecto,f11,7/10/2024,4/2/2025,240,x,NA,2/10/2025,NA,mejora edilicia
x069,helguera 2435,0200777,"Accesibilidad básica. puesta en valor de carpinterías (algunas sin vidrio de seguridad o policarbonato y elementos corroídos). adecuación de instalación eléctrica. acondicionamiento de la instalación de gas y termomecánic. arreglo de humedad y revoques. pintura
",$ 30.000.000,NA,En Proyecto,en proyecto,f11,16/11/2023,15/3/2024,180,x,NA,11/9/2024,NA,mejora edilicia
x070,pedro lozano 3056,0200797,Impermeabilizacion parcial y pintura de cielorrasos. albañileria. reparacion de escaleras. humedad de cimientos.,$ 30.000.000,188184977,Licitación,licitación,f11,3/7/2023,15/11/2023,300,NA,NA,10/9/2024,ex-2023-23933864- -gcaba-dginfe,mejora edilicia
x071,roque perez 3545 (amparo),0200508,"Amparo - accesibilidad plena (ascensor, baño de disca y reorganizacion de office, patio de jardin a pb). instalacion electrica completa. instalacion sanitaria.",$ 65.000.000,483820568,Licitación,licitación,f11,21/9/2023,19/1/2024,300,x,NA,14/11/2024,NA,mejora edilicia
x072,tronador 4134,0200728,"Reparación de humedad de cimientos, reparación de las mamposterías afectadas y pintura integral. impermeabilización de cubiertas, en sector con filtraciones y respiración de cielorrasos. requiere pisos patios
Acondicionamiento de baños",$ 25.000.000,NA,Planificado,a iniciar proyecto,f11,16/8/2024,14/12/2024,270,x,NA,10/9/2025,NA,mejora edilicia
x073,avda. angel gallardo 246,0200088,"Restauracion patrimonial,impermeabilizacion, cielorrasos, acondicionamiento instalaciones y  pintura patios",NA,NA,En Proyecto,cyp,f11,1/11/2023,29/2/2024,270,x,NA,25/11/2024,NA,mejora edilicia
x074,catamarca 462,0200298,"Pintura general y arreglos de algunos sectores de revoque. 
",NA,14302497,Finalizado,finalizado,f14,25/07/2022,20/1/2023,90,NA,100%,11/4/2023,NA,mejora edilicia
x075,quesada 4357,0200729,Acondicionamiento de pisos y cielorraso. revision de instalacion electrica.  provisión de agua. arreglo de revoque en fachada internas. adecuacion de sanitarios. pintura completa. humedad de cimiento sobre medianera. intervencion casa del casero.,$ 25.000.000,169388578,Licitación,licitación,f11,27/7/2023,24/11/2023,210,x,NA,21/6/2024,ex-2023-26981452- -gcaba-dginfe,mejora edilicia
x076,avda. larrazabal 4520 - g1,0200950,"Instalación eléctrica completa, filtraciones, cambio de parasoles, pintura general",$ 40.000.000,298655215,Licitación,licitación,f11,26/6/2023,24/10/2023,360,NA,NA,18/10/2024,ex-2023-22081509- -gcaba-dginfe,mejora edilicia
x077,cuba 2410 - g1,0200530,"Instalacion electrica y  termomecanica, filtracion por cubierta.",NA,327495765,Licitación,licitación,f11,26/6/2023,24/10/2023,360,NA,NA,18/10/2024,ex-2023-05630705- -gcaba-dginfe,mejora edilicia
x078,camargo 725,0200354,"Acondicionamiento  de acc basica cubierta (nueva toda la cubierta del gym),inst electricidad,  incendio, cambio calera, prov agua , arreglos menores de revoques patio. pintura general.  mobiliario para guardado",NA,123399625,En Obra,en obra,f11,12/9/2022,15/05/2023,180,NA,35%,30/12/2023,ex-2022- 32063179 -gcaba-dginfe,mejora edilicia
x079,humberto iº 3171,0200302,"Acondicionamiento  de acc basica, sanitarios , inst electrica e incendio, prov de agua , cielorraso   , carpinteria ,arreglo patio y  muros con sus revoques. pintura  y patio",NA,205148895,En Obra,en obra,f11,17/4/2023,1/9/2023,300,NA,1%,27/6/2024,ex-2023-14712334- -gcaba-dginfe,mejora edilicia
x080,aquino 6040,0200962,"Instalacion electrica completa, remodelacion de nucleo sanitario en pb y nucleos sanitarios a nuevos en 1 y 2 piso. accesibilida plena (ascensor, solado rampante en gym y baño de disca en 2 piso). ampliacion de 4 aulas (3 jin). pintura. calefaccion.",$ 40.000.000,569636899,Licitación,licitación,f11,9/10/2023,6/2/2024,360,x,NA,31/1/2025,ex-2023-36903832-   -gcaba-dginfe,mejora edilicia
x081,besares 2990,0200628,"Cubierta, carpinterias (madera, deterioradas), playon de acceso, puesta en valor sector original del edificio",-,NA,Planificado,a iniciar proyecto,f11,13/09/2024,11/01/2025,360,NA,NA,6/1/2026,NA,mejora edilicia
x081,lacarra 1135,0200628,"Cubierta, carpinterias (madera, deterioradas), playon de acceso, puesta en valor sector original del edificio",$ 30.000.000,NA,Planificado,a iniciar proyecto,f11,17/5/2024,14/9/2024,330,NA,NA,10/8/2025,NA,mejora edilicia
x082,don bosco 4200,0200412,"Accesibilidad plena, sanitarios, freno de deterioro en fachada y puesta en valor de carpinterias, pintura, incendio (a definir)",$ 65.000.000,NA,En Proyecto,en proyecto,f11,4/11/2023,3/3/2024,300,x,NA,28/12/2024,NA,mejora edilicia
x083,avda. rivadavia 3577,0200097,"Reparación de estructura y vitreaux en el salón de actos del 1º piso, sanitarios, carpinterias, instalacion electrica, pintura, fisuras en pb y ss. pintura. cubierta e impermeabilizacion.",$ 50.000.000,NA,En Proyecto,cyp,f11,2/11/2023,1/3/2024,360,x,NA,24/2/2025,NA,mejora edilicia
x084,cuba 2039,0200496,"Sanitarios, cubierta, carpinterias y pintura",NA,131838373,En Obra,en obra,f11,27/2/2023,01/08/2023,210,NA,14%,27/2/2024,ex-2023-05771336-gcaba-dginfe,mejora edilicia
x085,moldes 1858,0200497,"Sanitarios, patios, cubierta (impermeabilizacion y arreglos de cubierta parabolica), cielorrasos, puesta en valor de escalera y aulas. ie completa. supervision (patios, solados, carpinterias, sanitarios y sellado de lucarnas).",$ 35.000.000,NA,En Proyecto,cyp,f11,12/10/2023,9/2/2024,210,x,NA,6/9/2024,NA,mejora edilicia
x086,avda. cabildo 3615,0200501,"Sanitarios, impermeablizacion y pintura / ie completa - baños de pa sin instalacion de agua, requiere reemplazo de colectores en tanques",$ 40.000.000,NA,En Proyecto,en proyecto,f11,25/2/2024,24/6/2024,270,NA,NA,21/3/2025,NA,mejora edilicia
x087,avda. don pedro de mendoza 1835,0200178,"Acondicionamiento  de cubierta, instalacion sanitario, electrica e incendio. arreglo de revoques menores en aulas.  adecuacion pintura interior de areas significantes  y patio.",$ 98.800.000,NA,Planificado,a iniciar proyecto,f11,23/6/2024,21/10/2024,360,x,NA,16/10/2025,NA,mejora edilicia
x088,avelino diaz 2356,0200568,"Evaluacion estructural de varias fisura (muros de aula, cocina y escaler). expte?
Plan mejora de patio+muros+acond gas-electricidad+ sanitarios y pintura en areas significativaspatios amerita mejora en pisos y pintura. humedad ascendente en medianera de aulas y comedor. acondicionamiento de cielorrasos dela circulación del primer piso. acondicionamiento de instalacion electrica y termomecanica. acondicionamiento del sanitarios del piso 1. la accesibilidad si bien es básica amerita resolución de algunos desniveles internos en sus recorridos.  

",-,NA,En Proyecto,en instalaciones,f11,17/12/2023,15/4/2024,270,x,NA,10/1/2025,NA,mejora edilicia
x089,ayacucho 1680,0200001,"Fachadas (cambio de carpinterias y parasoles), nucleos sanitarios,(aula jines) mudanza de una sala, pintura completa, instalacion electrica y sanitario. analizar instalacion termomecanica. red de proteccion en azotea.",$ 50.000.000,NA,En Proyecto,en proyecto / instalaciones,f11,25/11/2023,24/3/2024,240,x,NA,19/11/2024,NA,mejora edilicia
x090,dr. antonio bermejo 6675 -modulares bermejo,0202391,Adaptacion de modulares en un cfp / acceso independiente / cambiar sanitarios / instalaciones/ aula,-,47092855,Licitación,licitación,f11,26/06/2023,24/10/2023,180,x,NA,21/4/2024,ex-2023-23076392- -gcaba-dginfe,mejora edilicia
x091,gral. venancio flores 3869,0200600,Ampliación - rehabilitación parcial - instalación eléctrica,NA,78558808,En Obra,en obra,f11,03/02/2022,1/11/2022,300,NA,76%,31/11/2023,NA,mejora edilicia
x092,juana de azurduy 2541,0200498,"Acond de sanitarios, prov de agua , carpinteria y pintura en areas sgnificativas",NA,78540321,En Obra,en obra,f11,2/2/2023,01/08/2023,300,NA,0%,30/6/2024,ex-2023-05772819- -gcaba-dginfe,mejora edilicia
x093,2 de abril de 1982 6950 - goleta santa cruz 6997,0200918,"Carpinterías, cubierta y pintura en areas significativas",NA,222519817,Licitación,licitación,f11,17/06/2023,1/11/2023,210,NA,NA,29/5/2024,ex-2022-32927431- -gcaba-dginfe,mejora edilicia
x094,mendoza 1000,0200502,Accesibilidad plena. acondicionamiento / recambio de carpinterías y herrajes. subsanación de grietas en muros. revestimiento de toda la fachada (se retiró parte del revestimiento de ladrillo original por desprendimiento) / contrapiso a nuevo del patio del comedor / detector de intrusos (alarma / amparo,NA,172314108,En Obra,en obra,f11,14/02/2023,01/09/2023,300,NA,0%,27/6/2024,ex-2023-05088322-gcaba-dginfe,mejora edilicia
x095,rivadavia 4950 - comedor,0200427,Creacion de un comedor,NA,80229731,En Obra,en obra,f11,30/11/2022,01/06/2023,210,NA,17%,28/12/2023,ex-2022-40597150- -gcaba-dginfe,mejora edilicia
x096,natatorio romero brest,0200523,Adecuacion de pileta y sus instalaciones plan mejora de patio+muros+acond gas-electricidad+ sanitarios y pintura en areas significativas,$ 165.000.000,NA,Planificado,a iniciar proyecto,f11,22/12/2024,21/04/2025,420,x,NA,15/6/2026,NA,mejora edilicia
x097,alvarez thomas 2253,0000000,"Completar: mamposterías, revoques y solados. pintura completa. provisión y colocación de carpinterías y herrerías. completar instalaciones: eléctrica y sanitaria.ejecutar escalera a azotea (hormigón)",NA,125082770,Licitación,licitación,f11,02/08/2023,30/11/2023,330,NA,NA,25/10/2024,ex-2023-28320305-   -gcaba-dginfe,mejora edilicia
