ano,orden,descripcion_obra,domicilio_edificio,cui,prestaciones,nivel_de_aprobacion
2018,13536801,inst art iluminac en fachada,YERBAL 25,0200396,Otros Servicios,INSP/SUP
2018,13536802,inst art iluminac en fachada,JUAN B. AMBROSETTI 699,0200378,Otros Servicios,INSP/SUP
2018,13536803,escuela del futuro,VIEYTES 942,0200256,Otros Servicios,INSP/SUP
2018,13536805,impermeabilizacion caja de ascensor,VIEYTES 942,0200256,Cubiertas / Impermeabilizaciones,INSP/SUP
2018,13536808,Espacio Digital,VIEYTES 942,0200256,Otros Servicios,INSP/SUP
2018,13536814,pintura circulacion,AVDA. CARABOBO 253,0200563,Otros Servicios,GER GOIM
2018,13536823,Reconstruccion de solado,DONADO 2057,0200737,Albañileria / Pintura,GER GOIM
2018,13536876,Reemp de solada en aulas 1º piso,LAFAYETTE 1879,0200233,Albañileria / Pintura,INSP/SUP
2018,13536877,ADECUACION ELECTRICA,LAFAYETTE 1879,0200233,Electricidad,INSP/SUP
2018,13537022,"recond muro, tablero jardin, mesada, gri",PICO 2689,0200509,Otros Servicios,INSP/SUP
2018,13537026,"cbio rejilla, pasamanos, mesada, esc gat",BESARES 2990,0200500,Otros Servicios,INSP/SUP
2018,13537033,adecuacion cocina,CARACAS 2057,0200589,Otros Servicios,INSP/SUP
2018,13537038,trabajos laboratorios,AVDA. TRIUNVIRATO 4992,0200726,Otros Servicios,INSP/SUP
2018,13537050,Adecuacion aulas del Futuro,AVDA. CALLAO 450,0200030,Albañileria / Pintura,INSP/SUP
2018,13537051,insta artefac iluminacion fachada,CARACAS 2372,0200678,Electricidad,INSP/SUP
2018,13537052,Espacios digitales - Aulas futuro,CHACABUCO 922,0200138,Electricidad,INSP/SUP
2018,13537055,insta artefac iluminacion fachada,CARACAS 2057,0200589,Electricidad,INSP/SUP
2018,13537057,camara interceptora de grasa,PINTO 3910,0200515,Otros Servicios,INSP/SUP
2018,13537062,insta artefac iluminacion fachada,ARGERICH 2849,0200770,Electricidad,INSP/SUP
2018,13537070,Pintura integral,AVDA. DEL LIBERTADOR 238,0200024,Albañileria / Pintura,INSP/SUP
2018,13537072,Reemplazo cielorraso y pintura grl,LAVALLE 1681,0200025,Albañileria / Pintura,INSP/SUP
2018,13537074,Puesta en valor lucarna patio descubiert,LAVALLE 1681,0200025,Carpinterías,INSP/SUP
2018,13537082,Prov inst luces emergencia coloc puertas,AVDA. MARTIN GARCIA 874,0200258,Electricidad,INSP/SUP
2018,13537084,Rejas para barandas,WENCESLAO VILLAFAÑE 453,0200174,Carpinterías,INSP/SUP
2018,13537085,Readecuacion baño media,ARCAMENDIA 743,0200259,Sanitarias,INSP/SUP
2018,13537086,Readecuacion baño media PA,ARCAMENDIA 743,0200259,Sanitarias,INSP/SUP
2018,13537088,Readecuacion paneles hormigon,AVDA. CASEROS 734,0200229,Albañileria / Pintura,INSP/SUP
2018,13537091,Readecuacion electrica taller imprenta,AVDA. DEL LIBERTADOR 8635,0200528,Electricidad,GER GOIM
2018,13537122,Prov y coloc nuevo solado SUM,LACARRA 1135,0200628,Albañileria / Pintura,GER GOIM
2018,13537125,Pintura de carpinterias,AVDA. LA PLATA 623,0200407,Albañileria / Pintura,GER GOIM
2018,13537126,"Aulas del futuro - Aulas 7, 9, 10 y 11",CHACABUCO 922,0200138,Electricidad,GER GOIM
2018,13537127,Espacios digitales - Aulas futuro,FONROUGE 711,0202204,Albañileria / Pintura,INSP/SUP
2018,13537128,Cocina vivienda casera y albañileria,CARLOS BERG 3460,0200852,Albañileria / Pintura,INSP/SUP
2018,13537130,Reconst losa - pintura pasillo patio,AVDA. INTENDENTE FRANCISCO RABANAL 2751,0200857,Albañileria / Pintura,INSP/SUP
2018,13537132,Espacios digitales - Aulas futuro,POLA Y JOSE BARROS PAZOS 5250,0202178,Albañileria / Pintura,INSP/SUP
2018,13537139,Espacios digitales - Aulas futuro,BERON DE ASTRADA 6351,0200958,Albañileria / Pintura,INSP/SUP
2018,13537264,Cambio de solados en aulas,"AVDA. CNEL. ROCA, PTA. 9, AUTODROMO",0202430,Albañileria / Pintura,INSP/SUP
2018,13537268,Rparacion tanque cisterna,AVDA. ALMAFUERTE 66,0200225,Sanitarias,INSP/SUP
2018,13537276,Rec cable acometida a TP e Inst elec hal,ARCAMENDIA 743,0200259,Electricidad,GER GOIM
2018,13537278,Reparacion tablero comando sala de bomba,"PJE. L, E/LACARRA Y LAGUNA",0200862,Electricidad,INSP/SUP
2018,13537287,Remodelacion cocina,TRAFUL 3847,0200243,Albañileria / Pintura,INSP/SUP
2018,13537292,Pintura integral aulas PB,LAVALLE 1681,0200025,Albañileria / Pintura,GER GOIM
2018,13537295,Sustitucion puertas piso 2 y 3,AVDA. CORDOBA 1951,0200029,Carpinterías,GER GOIM
2018,13538647,Cambio de cubiertas y cielorraso aulas,HELGUERA 3228,0200769,Cubiertas / Impermeabilizaciones,GER GOIM
2018,13538649,Reparacion techados ampl. inst. pluvial,CARACAS 2057,0200589,Cubiertas / Impermeabilizaciones,GER GOIM
2018,13538655,Normalizacion ventilacion caldera,CAMARGO 725,0200354,Calefaccion y Refrigeracion,INSP/SUP
2018,13538656,Sala de bombas remodelacion y ampliacion,JULIAN ALVAREZ 240,0200367,Sanitarias,INSP/SUP
2018,13538659,Inst electrica y colocacion rejas,AVDA. DON PEDRO DE MENDOZA 1777,0200196,Electricidad,INSP/SUP
2018,13538663,Prov y coloc mastil y cerco perimetral,BASUALDO 2850,0200648,Albañileria / Pintura,INSP/SUP
2018,13538671,"Colocacion prot calef, antipalomas e ins",LOS PATOS 3072,0202394,Carpinterías,INSP/SUP
2018,13538677,Puesta en marcha sala de bombas,MARTINEZ CASTRO 3061,0200863,Electricidad,INSP/SUP
2018,13538691,Pintura integral PB 1p 2 p sum aula quim,BOLIVAR 1235,0200199,Albañileria / Pintura,GER GOIM
2018,13538692,Readecuacion baño media,ARCAMENDIA 743,0200259,Sanitarias,GER GOIM
2018,13538695,Readecuacion baño media PA,ARCAMENDIA 743,0200259,Sanitarias,GER GOIM
2018,13538696,Cambio solado y pintura circul y aula,AVDA. MANUEL MONTES DE OCA 121,0200254,Albañileria / Pintura,GER GOIM
2018,13539023,Puertas de baños,SAN PEDRITO 1137,0200569,Carpinterías,INSP/SUP
2018,13539025,Cambio de techados,FELIPE VALLESE 975,0200397,Cubiertas / Impermeabilizaciones,INSP/SUP
2018,13539111,Proveer 2 matafuegos aulas nuevas,ZAVALETA 204,0200262,Incendio,INSP/SUP
2018,13539157,Colocacion cañerias desagues AA,LOS PATOS 3004,0202179,Calefaccion y Refrigeracion,INSP/SUP
2018,13539161,Pintura y reparacion revoques,AVDA. DON PEDRO DE MENDOZA 1835,0200178,Albañileria / Pintura,GER GOIM
2018,13539162,Rep y ejec cubierta tejas aulas PA,AVDA. PIEDRA BUENA 4863,0200955,Cubiertas / Impermeabilizaciones,GER GOIM
2018,13539264,Piso de goma en aulas,ARENALES 2733,0200083,Albañileria / Pintura,INSP/SUP
2018,13539265,plataforma para discapacitados,LAPRIDA 1235,0200076,Medios de elevación,INSP/SUP
2018,13539266,Suministro y colocacion rejas metalicas,DR. TOMAS MANUEL DE ANCHORENA 855,0200093,Carpinterías,INSP/SUP
2018,13539322,Adecuacion de dos aulas,REPÚBLICA BOLIVARIANA DE VENEZUELA 3158,0200314,Albañileria / Pintura,INSP/SUP
2018,13539323,Pintura en cielorraso y muros interiores,LA RIOJA 850,0200296,Albañileria / Pintura,INSP/SUP
2018,13539328,Refrigeración,AVDA. GRAL. IRIARTE 3880,0200261,Calefaccion y Refrigeracion,INSP/SUP
2018,13539497,Cerraminetos reemplazo vidrios,TILCARA 3365,0200845,Carpinterías,INSP/SUP
2018,13539753,Ascensor mecanico a x hidraulico,GRAL. GREGORIO ARAOZ DE LAMADRID 499,0200179,Medios de elevación,GER GOIM
2018,13539916,Readecuacion aula tecnologia,HUMBERTO I° 3171,0200302,Albañileria / Pintura,INSP/SUP
2018,13539920,Arreglo dinteles y cielorrasos en direcc,HUMBERTO I° 3171,0200302,Albañileria / Pintura,INSP/SUP
2018,13539921,"Sala de bombeo cloacal, arreglo bomba ta",TUCUMAN 3233,0200081,Sanitarias,INSP/SUP
2018,13563226,cbio instalacion de agua y carpinteria,CAMPICHUELO 100,0200377,Sanitarias,GER GOIM
2018,13563227,Cambio de membrana,CAMPICHUELO 100,0200377,Cubiertas / Impermeabilizaciones,GER GOIM
2018,13563230,rep molduras y cielorraso,AVDA. RIVADAVIA 4817,0200377,Albañileria / Pintura,GER GOIM
2018,13563232,reacondicionado patio 1 y patio PA,FONROUGE 346,0200905,Albañileria / Pintura,GER GOIM
2018,13563234,inst artefa iluminacion en fachada,AVDA. PEDRO GOYENA 984,0200410,Electricidad,INSP/SUP
2018,13563237,impermeabilizacion de tanque,CNEL. APOLINARIO FIGUEROA 1077,0200359,Cubiertas / Impermeabilizaciones,INSP/SUP
2018,13563247,elect ptio pintura friso ptio descubiert,BACACAY 3542,0200592,Albañileria / Pintura,INSP/SUP
2018,13563249,pintura y revoque parcial,AVDA. JUAN BAUTISTA ALBERDI 4754,NA,Albañileria / Pintura,INSP/SUP
2018,13563251,cbio chapa traslucida gim solado goma,JOSE BONIFACIO 3650,0200566,Cubiertas / Impermeabilizaciones,INSP/SUP
2018,13563254,piso en ptio de jardin,CNEL. RAMON L. FALCON 4126,0200549,Albañileria / Pintura,GER GOIM
2018,13563691,Circuito de emergencia,CNEL. RAMON L. FALCON 4151,0200550,Electricidad,INSP/SUP
2018,13563692,iluminacion de fachada,CNEL. RAMON L. FALCON 4126,0200549,Electricidad,INSP/SUP
2018,13563693,iluminacion de fachada,JOSE BONIFACIO 3650,0200566,Electricidad,INSP/SUP
2018,13563694,iluminacion de fachada,BACACAY 3542,0200592,Electricidad,INSP/SUP
2018,13563696,iluminacion de fachada,AVDA. JUAN BAUTISTA ALBERDI 4754,NA,Electricidad,INSP/SUP
2018,13563744,Mesada de laboratorio,PUAN 360,0200402,Otros Servicios,INSP/SUP
2018,13563814,Correccion de factor de potencia,GRAL. CESAR DIAZ 3050,0200591,Otros Servicios,INSP/SUP
2018,13563816,tendido para ventiladores en ptio ppal,SANCHEZ 1858,0200360,Calefaccion y Refrigeracion,INSP/SUP
2018,13563818,cbio piso patio abierto cbio pluvial,AVDA. TRIUNVIRATO 4857,0200704,Albañileria / Pintura,INSP/SUP
2018,13563819,acondicionamiento sala plast cooperadora,BUCARELLI 1950,0200709,Otros Servicios,INSP/SUP
2018,13563821,instalacion fija contra incendios,AVDA. TRIUNVIRATO 4992,0200726,Incendio,INSP/SUP
2018,13563824,iluminacion de fachada,CNEL. PEDRO CALDERON DE LA BARCA 3073,0200773,Electricidad,INSP/SUP
2018,13563827,iluminacion de fachada,MANUEL PORCEL DE PERALTA 1437,0200795,Electricidad,INSP/SUP
2018,13563829,iluminacion de fachada,CORTINA 2449,0200778,Electricidad,INSP/SUP
2018,13563830,iluminacion de fachada,GALLARDO 521,0200823,Electricidad,INSP/SUP
2018,13563832,iluminacion de fachada,GALLARDO 149,0200827,Electricidad,INSP/SUP
2018,13563834,alimentacion elec inst fija contra ince,CASTRO 954,0200305,Incendio,INSP/SUP
2018,13563836,colocacion de mosquieteros,JUAN B. AMBROSETTI 699,0200378,Saneamiento,INSP/SUP
2018,13563978,refaccion de cocina y deposito,ECHEVERRIA 5034,0200708,Otros Servicios,INSP/SUP
2018,13563979,Cambio de chapas,LUIS VIALE 1046,0200369,Cubiertas / Impermeabilizaciones,GER GOIM
2018,13563980,readecuacion nucleos sanitarios,GAVILAN 1464,0200611,Sanitarias,GER GOIM
2018,13564259,iluminacion fachada moron 4149,MORON 4149,0200839,Electricidad,INSP/SUP
2018,13564304,Instalacion Luminarias en fachada,AVDA. GAONA 1502,0200382,Electricidad,INSP/SUP
2018,13564309,Instalacion electric-Iluminaciòn fachada,CAMPICHUELO 100,0200377,Electricidad,INSP/SUP
2018,13564314,Instalacion electric-Iluminaciòn fachada,GRAL. MARTIN DE GAINZA 1050,0200381,Electricidad,INSP/SUP
2018,13564368,Instalacion Luminarias en fachada,AVDA. RIVADAVIA 6065,0200356,Electricidad,INSP/SUP
2018,13564369,Instalacion Luminarias en fachada,JOSE JUAN BIEDMA 459,0200374,Electricidad,INSP/SUP
2018,13564370,Instalacion Luminarias en fachada,LUIS VIALE 1046,0200369,Electricidad,INSP/SUP
2018,13564373,Instalacion Luminarias en fachada,COLPAYO 132,0202379,Electricidad,INSP/SUP
2018,13564426,colocacion de AA,AVDA. AMANCIO ALCORTA 2502,0200245,Calefaccion y Refrigeracion,INSP/SUP
2018,13564427,limp gral coloc tierra y cesped,AVDA. GRAL. IRIARTE 3880,0200261,Otros Servicios,INSP/SUP
2018,13564429,recolocacion de techos,RIO CUARTO Y MONTESQUIEU,0200281,Albañileria / Pintura,INSP/SUP
2018,13564430,prov llave selestora tableros incendio,ZAVALETA 204,0200262,Incendio,INSP/SUP
2018,13564431,coloc venti pares comedor jardin,AVDA. PUEYRREDON 630,0200086,Otros Servicios,INSP/SUP
2018,13564432,coloc venti pares comedor jardin,SARMIENTO 2832,0200087,Otros Servicios,INSP/SUP
2018,13564433,iluminacion de fachada,SENILLOSA 650,0200430,Electricidad,INSP/SUP
2018,13576571,techo policarbonato,CORRALES 3420,0200860,Cubiertas / Impermeabilizaciones,INSP/SUP
2018,13576575,rep pluv y vereda,AVDA. LARRAZABAL 4051,0200948,Sanitarias,INSP/SUP
2018,13576577,cbio de membrana,CALLE S/NOMBRE 200 M COBO Y CURAPALIGUE,0200855,Cubiertas / Impermeabilizaciones,INSP/SUP
2018,13576581,sensores crecida de nivel napa,AVDA. LAFUENTE 2670,0200859,Otros Servicios,INSP/SUP
2018,13576585,sensores crecida de nivel napa,AVDA. LARRAZABAL 4051,0200948,Otros Servicios,INSP/SUP
2018,13576589,iluminacion de fachada,CNEL. MARTINIANO CHILAVERT 2680,0200875,Electricidad,INSP/SUP
2018,13576592,instalacion de AA,JOSE IGNACIO RUCCI 3961,0200952,Calefaccion y Refrigeracion,INSP/SUP
2018,13576596,iluminacion de fachada,CNEL. MARTINIANO CHILAVERT 2690,0200887,Electricidad,INSP/SUP
2018,13576601,iluminacion de fachada,AVDA. GRAL. FERNANDEZ DE LA CRUZ 2615,0202431,Electricidad,INSP/SUP
2018,13576616,coloc concertina chapon port electrico,CORRALES 3420,0200860,Otros Servicios,INSP/SUP
2018,13576625,rep lanzas y llaves por vandalismo,CNEL. MARTINIANO CHILAVERT 2690,0200887,Incendio,INSP/SUP
2018,13576628,rep lanzas y llaves por vandalismo,CALLE S/NOMBRE 200 M COBO Y CURAPALIGUE,0200855,Incendio,INSP/SUP
2018,13576631,rep lanzas y llaves por vandalismo,AVDA. LAFUENTE 2670,0200859,Incendio,INSP/SUP
2018,13576633,rep lanzas y llaves por vandalismo,CORRALES 3420,0200860,Incendio,INSP/SUP
2018,13576636,prov mant  grupo electrogeno,CORONEL MARTINIANO CHILAVERT 6090,0200979,Otros Servicios,INSP/SUP
2018,13576646,modificacion sala de bombas,ARAOZ 234,0200372,Otros Servicios,INSP/SUP
2018,13576660,acondionamiento central detec incendio,OLLEROS 2325,0200449,Incendio,INSP/SUP
2018,13576673,cbio cañeria calefacc aulas pasillos,GURRUCHAGA 739,0200441,Calefaccion y Refrigeracion,GER GOIM
2018,13576689,tablero ppal esc y correccion de factor,CACHI 77,0200236,Electricidad,INSP/SUP
2018,13576693,prot antipalomas ventanas bancos madera,LOS PATOS 3042,0202389,Saneamiento,GER GOIM
2018,13576722,iluminacion fachada fonrouge,FONROUGE 346,0200905,Electricidad,INSP/SUP
2018,13576728,impermeabilizacion taller,AVDA. JUJUY 255,0200322,Cubiertas / Impermeabilizaciones,GER GOIM
2018,13576737,Aulas del futuro,AVDA. DEL LIBERTADOR 238,0200024,Otros Servicios,GER GOIM
2018,13576754,Aula digital,CARLOS PELLEGRINI 1515,0200032,Otros Servicios,INSP/SUP
2018,13576995,Portero Visor y Brazo Empije Pta. Vandal,AVDA. GRAL. IRIARTE 3880,0200261,Carpinterías,INSP/SUP
2018,13576997,Aulas del futuro,CARLOS PELLEGRINI 1515,0200032,Otros Servicios,GER GOIM
2018,13576999,sala de bombas cbio de normas,MARTINEZ CASTRO 3061,0200863,Sanitarias,INSP/SUP
2018,13577000,Depresion Napas,AVDA. INTENDENTE FRANCISCO RABANAL 1549,0200870,Cubiertas / Impermeabilizaciones,INSP/SUP
2018,13577004,acondicionamientos central deteccion inc,ARCE 611,0200447,Incendio,INSP/SUP
2018,13577008,acondicionamientos central deteccion inc,ANGEL JUSTINIANO CARRANZA 2045,0200466,Incendio,INSP/SUP
2018,13577012,cbio puertas placas,"PJE. L, E/LACARRA Y LAGUNA",0200862,Carpinterías,INSP/SUP
2018,13577016,obras de acondiconamiento modulo sanit,MALABIA 964,0200457,Sanitarias,GER GOIM
2018,13577022,Pintura integral,SAN JOSE 1985,0200228,Albañileria / Pintura,GER GOIM
2018,13577024,reemplazo solado,AVDA. SAN JUAN 1545,0200137,Albañileria / Pintura,GER GOIM
2018,13577027,Impermeabilizacion terraza,AVDA. SANTA FE 2778,0200096,Cubiertas / Impermeabilizaciones,GER GOIM
2018,13577029,adecua aulas de futuro,AVDA. CORDOBA 1951,0200029,Otros Servicios,GER GOIM
2018,13577032,baños varones,AVDA. DEL LIBERTADOR 8635,0200528,Sanitarias,INSP/SUP
2018,13577035,baños mujeres,AVDA. DEL LIBERTADOR 8635,0200528,Sanitarias,INSP/SUP
2018,13577036,oficina tecnica,AVDA. DEL LIBERTADOR 8635,0200528,Otros Servicios,INSP/SUP
2018,13577038,nuevo pisos en cocina,ZUVIRIA 6640,0202387,Albañileria / Pintura,INSP/SUP
2018,13577040,adecuacion de  instalacion de gas,AVDA. INTENDENTE FRANCISCO RABANAL 1549,0200870,Gas,INSP/SUP
2018,13577041,refacciones varios,MOM 2358,0200865,Otros Servicios,INSP/SUP
2018,13577042,prov de llave en tableros de incendio,MOM 2358,0200865,Incendio,INSP/SUP
2018,13577893,const preceptoria acon aulas superv,LOS PATOS 3072,0202394,Otros Servicios,INSP/SUP
2018,13577897,"ejec pisos de madera , cableado inter, c",ALAGON 300,0200844,Cubiertas / Impermeabilizaciones,INSP/SUP
2018,13577899,"apert canaletas escalaras, baños, pintur",CACHI 77,0200236,Cubiertas / Impermeabilizaciones,INSP/SUP
2018,13577901,iluminacion de fachada,CATAMARCA 462,0200298,Electricidad,INSP/SUP
2018,13577904,iluminacion de emergencia,AVDA. ENTRE RIOS 757,0200139,Albañileria / Pintura,INSP/SUP
2018,13577906,pintura direccion y hall entrada,AVDA. ENTRE RIOS 757,0200139,Albañileria / Pintura,INSP/SUP
2018,13577910,muro perimetral patio jardin sector B,ARCAMENDIA 743,0200259,Albañileria / Pintura,GER GOIM
2018,13577922,Impermeabilizar y electricidad de IFCI,AVDA. DEL LIBERTADOR 4777,0200444,Incendio,INSP/SUP
2018,13577926,Instalación de canilla de servicio,AVDA. CRISOLOGO LARRALDE 5085,0202188,Sanitarias,INSP/SUP
2018,13577948,muro perimetral patio jardin,ARCAMENDIA 743,0200259,Albañileria / Pintura,GER GOIM
2018,13577953,adecuacion de aula,JUAN CARLOS GOMEZ 253,0200253,Otros Servicios,INSP/SUP
2018,13577956,"baño discapa, rampa acceso",DEAN FUNES 1821,0200327,Sanitarias,INSP/SUP
2018,13577958,cielorraso canaletas pluviales,INCLAN 3146,0200330,Cubiertas / Impermeabilizaciones,INSP/SUP
2018,13577967,cons de piso mosaicos,PICHINCHA 1873,0200246,Albañileria / Pintura,INSP/SUP
2018,13577969,"impermeabilizacion de azotea, const esca",QUILMES 484,0200895,Cubiertas / Impermeabilizaciones,INSP/SUP
2018,13577971,"pintura en ptio, repa patio ceramica aul",QUILMES 473,0200850,Albañileria / Pintura,INSP/SUP
2018,13577972,correccion factor de potencia reactiva,SAN LUIS 3224,0200081,Otros Servicios,INSP/SUP
2018,13577973,correccion factor de potencia reactiva,MEXICO 2383,0200131,Otros Servicios,INSP/SUP
2018,13577974,correccion factor de potencia reactiva,VALENTIN GOMEZ 3163,0200099,Otros Servicios,INSP/SUP
2018,13577975,correccion factor de potencia reactiva,LAVALLE 2366,0200010,Otros Servicios,INSP/SUP
2018,13577977,correccion factor de potencia reactiva,DR. TOMAS MANUEL DE ANCHORENA 855,0200093,Otros Servicios,INSP/SUP
2018,13577978,correccion factor de potencia reactiva,TUCUMAN 3233,0200081,Otros Servicios,INSP/SUP
2018,13577980,correccion factor de potencia reactiva,SARMIENTO 2250,0200013,Otros Servicios,INSP/SUP
2018,13577982,correccion factor de potencia reactiva,AVDA. PUEYRREDON 630,0200086,Otros Servicios,INSP/SUP
2018,13577984,correccion factor de potencia reactiva,JEAN JAURES 870,0200094,Otros Servicios,INSP/SUP
2018,13577986,correccion factor de potencia reactiva,SARMIENTO 2832,0200087,Otros Servicios,INSP/SUP
2018,13577988,"ptas acceso, canaleta, toldos, baño, coc",PROF. DR. PEDRO CHUTRO 3380,0200249,Otros Servicios,INSP/SUP
2018,13578162,PROVISION GRUPO ELECTROGENO,LETONIA 1928,0202678,Electricidad,INSP/SUP
2018,13578230,DEMOLICION MURO EN AULA MARIANO MORENO,AVDA. RIVADAVIA 3577,0200097,Otros Servicios,INSP/SUP
2018,13578288,"reac vestu,cbio chapa, coloc pta antipan",FRANCO 2390,0200759,Otros Servicios,INSP/SUP
2018,13578289,acond elec alimentar 8 AA,CASTRO 954,0200305,Otros Servicios,INSP/SUP
2018,13578637,Tendido pluvial primaria 2da etapa,LACARRA 1135,0200628,Sanitarias,INSP/SUP
2018,13578639,Instalacion cloacal y desagues,CAFAYATE 5115,0200946,Sanitarias,INSP/SUP
2018,13578641,Balance termico,AVDA. RIESTRA 5030,0200949,Electricidad,INSP/SUP
2018,13578644,Acondicionamiento sala de arte,CARLOS E. ZUBERBÜHLER 1850,0200525,Electricidad,INSP/SUP
2018,13578645,Provision de 4 ventiladores de pared,CNEL.MANUEL JOSE OLASCOAGA 5001,0202596,Electricidad,INSP/SUP
2018,13578649,"Espacios digitales. pintura, inst elec y",JUNCAL 3251,0200028,Electricidad,INSP/SUP
2018,13578658,Mesada cocina,RECONQUISTA 461,0200004,Otros Servicios,INSP/SUP
2018,13578659,Aislacion hidrofuga azotea,RECONQUISTA 461,0200004,Cubiertas / Impermeabilizaciones,INSP/SUP
2018,13578677,Readecuacion teatro,RONDEAU 2751,0200312,Albañileria / Pintura,INSP/SUP
2018,13578680,"Carpinterias, picaportes, pintura",RONDEAU 2751,0200312,Carpinterías,INSP/SUP
2018,13578697,Retiro piso madera y reemp piso pasillo,JULIAN ALVAREZ 2849,0200011,Albañileria / Pintura,INSP/SUP
2018,13578709,reparacion sistema de incendio,LOYOLA 1500,0200469,Incendio,INSP/SUP
2018,13578710,CAMBIO DE VIDRIOS INTEGRAL,COMBATIENTES DE MALVINAS 3234,0200661,Carpinterías,INSP/SUP
2018,13578711,CARPINTERIAS,AVDA. CHORROARIN 305,0200687,Carpinterías,INSP/SUP
