n_proyecto,proy,direccion,cui,intervenciones,presupuesto_estimado,estado,subestado,fuente,pase_dgar,inicio_obra,plazo_obra,ampliacion_plazo,avance_de_obra,fin_obra,eje,ano_plan
x023,x189,gral. martin de gainza 1050,0200381,"Impermeabilización de las azoteas, cubierta tipo shed de los talleres y
Laboratorios. instalaciones eléctrica, sanitaria, contra incendio, termomecánica y la reparación –
Puesta en norma del ascensor.","$405.359.455,00",En Obra,en obra,f11,12/08/2022,19/01/2023,330,-,70%,28/2/24,mejora edilicia,2021 - 2023
x024,x184,yerbal 25 (natatorio),0200396,Puesta en funcionamiento de la plieta y accesibilidad,NA,En Proyecto,en proyecto,f11,-,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2021 - 2023
x025,x118,doblas 1768,0200426,"Polideportivo contempla la construcción de un volumen de apoyo y servicios, un área de cancha cubierta con estructura liviana de chapa y un área de cancha descubierta de verde que permite terreno absorbente en pulmón de manzana.
","$104.310.536,00",En Obra,en obra,f11,15/07/2022,20/01/2023,300,-,50%,22/1/2024,ampliacion,2021 - 2023
x026,x095,rivadavia 4950 - comedor,0200427,Creacion de un comedor,"$80.229.731,43",En Obra,en obra,f11,30/11/2022,1/06/2023,210,NA,37%,28/02/2024,ampliacion,2021 - 2023
x027,x058,curapaligue 1150,0200428,"Pintura, patios, electricidad","$ 236.690.811,52",En Obra,en obra,f11,13/06/2023,11/10/2023,240,NA,0%,7/06/2024,mejora edilicia,2021 - 2023
x028,x112,gurruchaga  739,0200441,Instalacion electrica,"$162.327.060,67",En Obra,en obra,f11,4/07/2023,1/11/2023,180,NA,0%,29/04/2024,mejora edilicia,2021 - 2023
x029,x108,libertador 4777,0200444,Electrica e incendio / amparo/ fin de obra rescindida,"$16.554.167,31",En Obra,neutralizada,f11,19/01/2023,4/07/2023,90,NA,77%,2/10/2023,mejora edilicia,2021 - 2023
x030,x194,loyola 1500,0200469,Rehabilitación y refuncionalización de espacios para un centro integral pedagógico de producción audiovisual,"$106.896.537,04",Licitación,licitación,f11,15/09/2023,13/01/2024,180,NA,NA,11/07/2024,mejora edilicia,2021 - 2023
x031,x084,cuba 2039,0200496,"Sanitarios, cubierta, carpinterias y pintura","$131.838.373,32",En Obra,en obra,f11,4/02/2023,1/08/2023,210,-,45%,27/02/2024,mejora edilicia,2021 - 2023
x032,x092,juana de azurduy 2541,0200498,"Acond de sanitarios, prov de agua , carpinteria y pintura en areas sgnificativas","$78.540.321,55",En Obra,en obra,f11,2/02/2023,1/08/2023,300,-,10%,30/7/24,mejora edilicia,2021 - 2023
x033,x094,mendoza 1000,0200502,Accesibilidad plena. acondicionamiento / recambio de carpinterías y herrajes. subsanación de grietas en muros. revestimiento de toda la fachada (se retiró parte del revestimiento de ladrillo original por desprendimiento) / contrapiso a nuevo del patio del comedor / detector de intrusos (alarma / amparo,"$172.314.108,54",En Obra,en obra,f11,14/02/2023,1/09/2023,300,NA,2%,27/06/2024,mejora edilicia,2021 - 2023
x034,x005,avda. congreso 3045,0200510,Instalacion electrica completa,"$70.547.510,65",En Obra,en obra,f11,24/04/2023,22/08/2023,150,x,27%,19/1/2024,mejora edilicia,2021 - 2023
x035,x098,roosevelt 1510,0200516,"Accesibilidad plena (ascensor en patio de planta baja), reutilizacion pb para conformar un aula y acondicionar baño de discapacitado (no funciona griferia y falta timbre) / amparo","$53.535.914,92",En Obra,en obra,f11,2/02/2023,10/07/2023,240,NA,10%,6/03/2024,mejora edilicia,2021 - 2023
x036,x042,ramsay 2250,0200519,"Etapa 2022-23 adecuación de cubierta, instalación eléctrica","$86.686.411,00",En Obra,en obra,f11,11/05/2022,1/12/2022,180,-,42%,30/11/2023,mejora edilicia,2021 - 2023
x037,x077,cuba 2410 - g1,0200530,"Instalacion electrica y termomecanica, filtracion por cubierta.","$ 1.137.124.087,04",En Obra,en obra,f11,24/06/2023,22/10/2023,360,NA,0%,16/10/2024,mejora edilicia,2021 - 2023
x038,x110,carabobo 253,0200563,"Instalacion electrica completa, instalacion contra incendios","$35.559.575,36",En Obra,en obra,f11,17/04/2023,15/08/2023,150,NA,35%,12/01/2024,mejora edilicia,2021 - 2023
x039,x091,gral. venancio flores 3869,0200600,Ampliación - rehabilitación parcial - instalación eléctrica,"$78.558.808,00",En Obra,en obra,f11,3/02/2022,1/11/2022,300,-,86%,30/12/23,ampliacion,2021 - 2023
x040,x019,moron 3745,0200601,"Acondicionamiento de cubierta, sanitarios, cocina  inst electrica gas, piso, cielorraso. arreglo de revoque patio. adecuacion pintura interior de areas significantes y","$127.099.297,01",En Obra,en obra,f11,2/12/2022,1/09/2023,270,NA,13%,28/05/2024,mejora edilicia,2021 - 2023
x041,x183,la porteña 54 - yerbal 2750,0200607,"Obra nueva, ampliación de la porteña 54  ( 9 aulas)","$346.164.000,00",En Obra,en obra,f11,29/08/2022,20/01/2023,390,-,28%,30/3/24,ampliacion,2021 - 2023
x042,x041,oliden 2855,0200629,"Etapa 2022-23 adecuación instalación eléctrica e incendio, accesibilidad básica con pintura en áreas significativas","$133.214.002,08",En Obra,en obra,f11,27/04/2022,1/12/2022,360,-,73%,30/01/2024,mejora edilicia,2021 - 2023
x043,x015,pio collivadino 436,0200643,"Adecuación de sanitarios e incorporación del sanitario para personas con movilidad reducida.
Restauración, conservación y tratamiento de prevención de las fachadas del edificio
Reparación / recomposición de los revoques en paramentos interiores afectados por humedad de cimientos, cielorrasos armados de yeso y solados.
Restauración de carpinterías y herrerías (puertas, ventanas, postigos, celosías y rejas de protección).
Pintura general de paramentos interiores y cielorrasos de todos los locales del establecimiento
Adecuación de instalación eléctrica a normativas vigentes, ejecución de instalación sanitaria nueva para los núcleos sanitarios, instalación pluvial.
Reinstalación de cañerías de gas exteriores en el interior del edificio.
","$188.147.656,00",En Obra,en obra,f11,2/01/2023,1/08/2023,365,NA,15%,31/08/2024,mejora edilicia,2021 - 2023
x044,x119,lacarra 535,0200644,"Área administrativa: sanitario del sector a nuevo. se colocara cielorrasos suspendidos en todo el área. se realizará una nueva inst. eléctrica. se pintara completamente todo el sector.en el edificio donde funciona el taller de electrónica, en planta baja: puesta en valor de los sanitarios de docentes, office, sanitarios de alumnos y taller de electrónica.
En la planta alta de este mismo edificio, puesta en valor del aula de computación y el pasillo a fin de dar respuesta a la salida de emergencia. en el taller de hormigón armado que se encuentra en otro sector de la escuela sobre planta baja, se dará intervención al sanitario existente de docentes y al patio descubierto.puesta en valor del sum y biblioteca. intervencion de cubiertas (membranas, asbesto, cambio de tejas y chapas,etc..)cambio de tanques e instalación eléctrica.","$296.246.046,16",En Obra,en obra,f11,25/04/2023,20/10/2023,360,NA,3%,14/10/2024,mejora edilicia,2021 - 2023
x045,x186,escalada 2890,0200647,"Construcción de 4 aulas modulares en steel frame, adecuaciones en: vivienda casero, sala profesores y preceptores.","$117.949.959,33",En Obra,en obra,f11,-,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2021 - 2023
x046,x004,teodoro garcia 3899,0200684,"Instalacion electrica completa, instalacion contra incendios","$160.149.498,32",En Obra,en obra,f11,26/12/2022,1/07/2023,270,NA,26%,30/05/2024,mejora edilicia,2021 - 2023
x047,x107,tamborini 3948 - plani,0200720,"Sanitarios, revoques, patios y pintura.","$60.242.413,56",En Obra,en obra,f11,8/02/2023,22/06/2023,180,NA,90%,19/12/2023,mejora edilicia,2021 - 2023
x048,x033,avda. salvador maria del carril 3650,0200788,"Restauración y puesta en valor de fachadas externas e internas (patio) -
Restauración de revoques en general, cielorrasos, solados, cambio de cubierta
De tejas coloniales, reacondicionamiento de locales en 1º piso, instalaciones eléctricas , sanitarias y termomecánicas","$78.946.670,06",En Obra,neutralizada,f11,13/07/2021,22/02/2022,270,83,90%,neutralizada,mejora edilicia,2021 - 2023
x049,x040,navarro 4344,0200790,"Sanitarios, electricidad, accesibilidad y preceptoria","$51.114.898,96",En Obra,neutralizada,f11,15/10/2021,12/02/2022,180,90,76%,neutralizada,mejora edilicia,2021 - 2023
x050,x063,mercedes 4002 - g1,0200794,", Adecuacion de cubierta, pluviales, carpinteria. arreglo de revoques en aulas y patio. adecuacion pintura interior de areas significantes y patio. agregar sdf","$ 1.137.124.087,04",En Obra,en obra,f11,24/06/2023,22/10/2023,360,NA,0%,16/10/2024,mejora edilicia,2021 - 2023
x051,x051,avda. francisco beiro 4418,0200798,"Cielorrasos, instalación iluminacion (taller de cerámica), puesta en valor y refuncionalizacion de la ex vivienda del casero y depositos en pb, carpinterías, instal elect, pintura","$35.284.539,66",Finalizado,finalizado,f11,24/11/2021,26/08/2022,180,-,100%, - ,mejora edilicia,2021 - 2023
x052,x099,bahia blanca 4025,0200801,"Refuncionalizacion edilicia: casa del casero en oficinas de la supervision. accesibilidad basica, instalacion electrica completa, sanitaria y termomecanica.","$52.013.533,12",En Obra,en obra,f11,17/04/2023,20/08/2023,180,NA,14%,16/02/2024,mejora edilicia,2021 - 2023
x053,x218,magariños cervantes 5068- sala tableros,0200832,Construccion de sala de tableros para edesur,"$5.527.663,82",Licitación,licitación,f11,15/08/2023,15/11/2023,60,-,NA,14/01/2024,mejora edilicia,2021 - 2023
x054,x298,fernandez de la cruz 3605,0200874,Conexion de instalacion de gas (medidor y conexion)+ habilitacion y puesta en marcha sistema de calefaccion,"$2.000.280,09",En Obra,en obra,433,22/06/2023,27/07/2023,60,-,0%,25/09/2023,mejora edilicia,2021 - 2023
x055,x045,yrupe 6835,0200916,Ampliación de nucleos sanitarios / ampliacion del comedor / instalacion electrica del jardin,"$101.206.554,82",En Obra,en obra,f11,16/01/2023,1/09/2023,210,NA,27%,29/04/2024,mejora edilicia,2021 - 2023
x056,x093,2 de abril de 1982 n° 6950,0200918,"Carpinterías, cubierta y pintura en areas significativas","$222.519.817,56",En Obra,en obra,f11,15/06/2023,13/10/2023,210,NA,0%,10/05/2024,mejora edilicia,2021 - 2023
x057,x187,cañada de gomez 3859,0200927,Incorporacion de dos aulas de steel frame y nucleo sanitarios. traslado de mastil.,"$76.904.934,19",En Obra,en obra,f11,-,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2021 - 2023
x058,x076,avda. larrazabal 4520 - g1,0200950,"Instalación eléctrica completa, filtraciones, cambio de parasoles, pintura general","$ 1.137.124.087,04",En Obra,en obra,f11,24/06/2023,22/10/2023,360,NA,0%,16/10/2024,mejora edilicia,2021 - 2023
x059,x016,beron de astrada 5920,0200953,"Adecuacion accesibilidad y electrica, incendio, pintura interior + ver cd patio",NA,En Proyecto,en proyecto,f11,-,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2021 - 2023
x060,x062,los patos 3004,0202179,"Ampliacion de 2 salas con sus respectivos sanitarios (50 m2), un área gestión conformada por 4 oficinas y un comedor con una superficie de 106 m2.","$98.594.743,81",En Obra,en obra,f11,8/06/2023,6/10/2023,240,-,3%,2/06/2024,mejora edilicia,2021 - 2023
x061,x053,polo saavedra,0202188,"Terminación vestuarios, pileta, sanitarios, estacionamiento, parquizado","$429.716.900,00",En Obra,en obra,f11,5/09/2022,20/01/2023,330,-,44%,1/02/2024,ampliacion,2021 - 2023
x062,x196,zuviria 6620/50 - polo piedrabuena,0202437,Conexion de instalacion de gas (medidor y conexion)+ reemplazo de artefacto de cocina,"$4.500.000,00",En Obra,en obra,433,24/05/2023,21/09/2023,60,NA,0%,20/11/2023,mejora edilicia,2021 - 2023
x068,x089,ayacucho 1680,0200001,"Fachadas (cambio de carpinterias y parasoles), nucleos sanitarios,(aula jines) mudanza de una sala, pintura completa, instalacion electrica y sanitario. analizar instalacion termomecanica. red de proteccion en azotea.","$993.814.391,10",En Proyecto,en proyecto,f11,8/12/2023,6/04/2024,365,x,NA,6/4/2025,mejora edilicia,2024 - 2027
x069,x116,juncal 690 y basavilbaso 1295,0200006,"Reparacion de cubiertas (inicial y primaria), acc basica (montasilla y baño de disca), pintura general - instalacion electrica de la inicial - sector de sombras inicial y primaria - solado de patio de la primaria e inicial - recambio de carpinterias y colocacion de rejas - evaluacion de instalacion sanitaria + ee: remediacion de rejas","$629.566.069,49",En Obra,en obra,f11,2/08/2023,30/11/2023,365,x,0%,29/11/2024,mejora edilicia,2024 - 2027
x070,x113,rio de janeiro 986,0200080,"Acc. plena, pintura y adecuacion de instalacion electrica","$138.330.209,66",En Obra,en obra,f11,2/08/2023,30/11/2023,300,x,0%,25/09/2024,mejora edilicia,2024 - 2027
x071,x073,avda. angel gallardo 246,0200088,"Restauracion patrimonial,impermeabilizacion, cielorrasos, acondicionamiento instalaciones y  pintura patios","$305.525.140,96",Licitación,licitación,f11,29/11/2023,28/03/2024,270,x,NA,23/12/2024,mejora edilicia,2024 - 2027
x072,x083,avda. rivadavia 3577,0200097,Refuncionalización de sanitarios- restauracion de fachadas interiores y exteriores- cielorrasos ( cambio y/o restauración)- solados- restauracion de mansarda y vitreaux- instalacion electrica completa- adecuación de instalacion sanitaria. incendio y gas- y adecuación de subsuelo ( tratamiento de humedad),"$580.000.000,00",En Proyecto,frenada,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x073,x311,valentin gomez 3163,0200099,"Accesibilidad basica, fisuras, reparacion de revoques, pintura general, carpinterias, adecuacion sanitarios, patios",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x074,x233,guemes 3859,0200101,"Plan mejora edif historica adecuacion  inst electrica , gas-calefaccion patio , cubierta , reparacion revoques y pintura en areas significativas",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x075,x199,sarmiento 4041,0200105,Solado de madera del gimnacio y revoques,"$85.031.910,88",Licitación,licitación,f11,17/08/2023,15/12/2023,150,x,NA,13/05/2024,mejora edilicia,2024 - 2027
x076,x065,chile 1626,0200123,"Etapa 2022-23 adecuación de cubierta, patio, instalación eléctrica completa (amparo) y pintura","$183.705.656,87",En Proyecto,frenada,f11,7/08/2023,-,300,x,NA, - ,mejora edilicia,2024 - 2027
x077,x254,entre rios 1341,0200133,"Adecuacion  calefaccion, inst electrica , patio , muros ,cubierta, acesibilidad basica  , pintura en areas significativas, adecuacion cocina.",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x078,x023,san juan 1545,0200137,"Se realizará la reparación de revoques, filtraciones y trabajos de pintura. instalación eléctrica completa.","$329.759.445,02",Licitación,licitación,f11,17/11/2023,16/03/2024,300,x,NA,10/01/2025,mejora edilicia,2024 - 2027
x079,x302,estados unidos 1750 / independencia 668,0200141,"Accesibilidad plena, instalacion electrica, calefaccion, sum, cocina, patios, pintura general","$280.000.000,00",En Proyecto,en proyecto,f11,13/02/2024,12/06/2024,210,-,NA,8/01/2025,mejora edilicia,2024 - 2027
x080,x206,gral. gregorio araoz de lamadrid 648,0200178,"Ejecucion de a nuevo de patios de jardin, acceso, estructura y solado","$27.536.291,07",Licitación,licitación,f11,11/11/2023,26/12/2023,90,x,NA,25/03/2024,mejora edilicia,2024 - 2027
x081,x102,lamadrid 499,0200179,"Historica. fachada, patio, instalacion electrica,carpinterias,sanitarios y pintura","$630.000.000,00",En Proyecto,en proyecto,f11,24/03/2024,22/07/2024,360,x,NA,17/07/2025,mejora edilicia,2024 - 2027
x082,x222,humberto 1° 343,0200186,"Plan mejora de inst gas-calefaccion + cubierta , instalacion electrica, adecuacion sanitarios, reparacion revoques y pintura en areas significativas","$180.000.000,00",En Proyecto,en proyecto,f11,30/01/2024,29/05/2024,300,NA,NA,25/3/2025,mejora edilicia,2024 - 2027
x083,x227,jose aaron salmun feijoo 1073,0200190,Plan mejora de patio + adecuacion pisos de madera+ muro con humedades+ carpinteria +prov agua+  inst electrica + y pintura en areas significativas. accesibilidad23,"$180.000.000,00",En Proyecto,en proyecto,f11,14/02/2024,13/06/2024,360,-,NA,8/06/2025,mejora edilicia,2024 - 2027
x084,x231,paseo colon 650,0200195,"Accesibilidad. pintura. impermeabilización en sector de aulas. instalación eléctrica: terminar obra rescindida de instalación eléctrica de talleres. termo
. Terminar la obra eléctrica rescindida (instalación eléctrica de los talleres). adecuación de instalación de gas. instalación sanitaria (vestuariso)",NA,En Proyecto,instalaciones,f11,25/02/2024,24/06/2024,360,NA,NA,19/06/2025,mejora edilicia,2024 - 2027
x085,x255,lafayette 1879,0200233,"Adecuacion de patios , inst electrica y pintura, rejas de seguridad","$120.000.000,00",Planificado,planificado,f11,2/05/2024,30/08/2024,300,NA,NA,26/06/2025,mejora edilicia,2024 - 2027
x086,x043,avda. gral. iriarte 3880,0200261,Traslado de aulas modulares + adecuación y tendido elect,NA,En Proyecto,en proyecto,f11,19/02/2024,18/06/2024,180,NA,NA,15/12/2024,ampliacion,2024 - 2027
x087,x258,urquiza 227,0200304,"Historica. fachada, patio, instalacion electrica,carpinterias,sanitarios y pintura","$230.000.000,00",Planificado,planificado,f11,26/07/2024,23/11/2024,360,NA,NA,18/11/2025,mejora edilicia,2024 - 2027
x088,x020,rondeau 2751 - bernasconi,0200312,"Freno de deterioro en fachadas exteriores e interiores, adecuación carpinteria","$305.717.923,68",En Obra,en obra,f11,2/02/2023,2/06/2023,720,NA,7%,30/08/2025,mejora edilicia,2024 - 2027
x089,x260,rondeau 2751 - bernasconi,0200312,Instalacion termomecanica,"$900.000.000,00",En Proyecto,en proyecto,f11,10/02/2024,9/06/2024,360,NA,NA,4/06/2025,mejora edilicia,2024 - 2027
x090,x220,carlos calvo 3176,0200328,"Plan mejora adecuacion aulas, revoques y carpinteria   + inst electrica  y pintura en areas significativas + accesibilidad plena","$180.000.000,00",En Proyecto,instalaciones,f11,6/02/2023,6/06/2023,300,x,NA,1/4/2024,mejora edilicia,2024 - 2027
x091,x241,estados unidos 3141/uriburu 876,0200334,"Patios exteriore, sanitarios,  inst electrica , acond gas pintura y accesibilidad basica","$230.000.000,00",Planificado,a iniciar proyecto,f11,28/05/2024,25/09/2024,270,NA,NA,22/06/2025,mejora edilicia,2024 - 2027
x092,x104,luis viale 1052,0200369,"Demolicion completa de contruccion en patio y trabajos de retiro de asbesto, accesibilidad  basica, cambio de carpinterias y cubierta  de galeria y paso que da al patio, nuevo nucleo sanitario en donde funcionaba la sala de maestro y sanitario adjunto. demolicion de sanitarios en sum. demolicion de parrilla y armado de lugar para gimnacio.  puesta en valor de sanitarios existentes y sala de auxiliares. instalacion sanitaria (cambio de tanque bombeo) y adecuacion de instalacion electrica. refuncionalizar casa del casero: cambio de cielorraso, puesta en valor del santario, cambio de carpinterias. completamiento de medianera y arreglo de muro existente.","$182.030.051,19",Licitación,licitación,f11,10/10/2023,7/02/2024,300,x,NA,3/12/2024,mejora edilicia,2024 - 2027
x093,x082,don bosco 4200,0200412,"Accesibilidad plena, sanitarios, freno de deterioro en fachada y puesta en valor de carpinterias, pintura, incendio (a definir)","$320.000.000,00",En Proyecto,cyp,f11,23/01/2024,22/05/2024,300,x,NA,18/3/2025,mejora edilicia,2024 - 2027
x094,x017,arce 611,0200447,Re ajuste aulas y ampliacion sala de 3. casa casero?,"$87.399.063,88",En Obra,en obra,f11,5/07/2023,2/11/2023,120,x,0%,29/07/2024,mejora edilicia,2024 - 2027
x095,x006,humboldt 742,0200458,Instalacion electrica completa,"$90.075.851,39",En Obra,en obra,f11,8/06/2023,6/10/2023,150,NA,5%,4/03/2024,mejora edilicia,2024 - 2027
x096,x085,moldes 1858,0200497,"Sanitarios, patios, cubierta (impermeabilizacion y arreglos de cubierta parabolica), cielorrasos, puesta en valor de escalera y aulas. ie completa. supervision (patios, solados, carpinterias, sanitarios y sellado de lucarnas).","$631.454.737,75",Licitación,licitación,f11,18/11/2023,17/03/2024,365,x,NA,17/03/2025,mejora edilicia,2024 - 2027
x097,x081,besares 2990,0200500,"Cubierta, carpinterias (madera, deterioradas), playon de acceso, puesta en valor sector original del edificio","$260.000.000,00",Planificado,planificado,f11,3/07/2024,31/10/2024,360,NA,NA,26/10/2025,mejora edilicia,2024 - 2027
x098,x086,avda. cabildo 3615,0200501,"Sanitarios, impermeablizacion y pintura / ie completa","$280.000.000,00",En Proyecto,en proyecto,f11,25/02/2024,24/06/2024,270,NA,NA,21/3/2025,mejora edilicia,2024 - 2027
x099,x210,11 de septiembre de 1888 3451,0200504,"Historica, arreglo de carpinterias, fachadas, patios, ie completa, pintura y adecuacion de casa del casero. puesta en valor de sanitarios y fisuras varias. catalogacion","$260.000.000,00",En Proyecto,en proyecto,f11,14/01/2024,13/05/2024,240,x,NA,8/01/2025,mejora edilicia,2024 - 2027
x100,x071,roque perez 3545 (amparo),0200508,"Amparo - accesibilidad plena (ascensor, baño de disca y reorganizacion de office, patio de jardin a pb). instalacion electrica completa. instalacion sanitaria.","$483.820.568,13",Licitación,licitación,f11,21/09/2023,19/01/2024,300,x,NA,14/11/2024,mejora edilicia,2024 - 2027
x101,x243,pico 2689,0200509,Plan mejora edif cacciatore adecuacion de patio+ carpinteria  + inst electrica+  cubierta y pintura en areas significativas + polideportivo en terreno lindero. ver fachada ladrillos,"$530.000.000,00",Planificado,a iniciar proyecto,f11,16/06/2024,14/10/2024,300,NA,NA,10/08/2025,mejora edilicia,2024 - 2027
x102,x301,pinto 3910,0200515,"Cocina, comedor, cubieta adecuacion sanitarios y ampliacion nivel inicial. pintura integral","$180.000.000,00",En Proyecto,en proyecto,f11,28/02/2024,27/06/2024,270,NA,NA,24/03/2025,mejora edilicia,2024 - 2027
