feme,cue,muebles,cantidad,direccion,establecimiento,distrito_escolar,comuna,origen_orden_de_compra,fecha_de_entrega,remito
PM-122,20006300,"Silla Escolar monocasco, 1 Ciclo altura 38 cm",60,Carlos Calvo 1140,Esc. Primaria Común N° 07 Gral. Güemes,3,1,BID 3 - Convenio - 9-22 Ampl,4/8/2023,114017
PM-122,20043900,"Silla Escolar monocasco, Nivel Inicial altura 31 cm",90,Humberto I° 2861,Jardín de Infantes Integral N° 01/06°,6,3,BID 3 - Convenio - 9-22 Ampl,4/8/2023,114018
PM-122,23037558,"Silla Escolar monocasco, 3 Ciclo altura 45 cm",10,Isla Galápagos 2295,CEPAPI 3 contacto para entrega Marcelo Torres 1144973434,NA,NA,BID 3 - Convenio - 9-22 Ampl,3/8/2023,114009
PM-122,20029400,"Silla Escolar monocasco, 3 Ciclo altura 45 cm",90,San Luis 3224,Jardín de Infantes Nucleado B (EPCjs 08/02°) El Jardín del Abasto [Sede],2,3,BID 3 - Convenio - 9-22 Ampl,4/8/2023,114019
PM-123,20159200,Escritorio Administrativo 4 cajones,3,Helguera 2435,Jardín de Infantes Nucleado A (EPCjs 10/17°) Alicia Moreau de Justo) [Sede],17,11,BID 2 - Prestamo-1/2021,A confirmar,NA
PM-123,20163800,Escritorio Administrativo 4 cajones,3,Gral. Eugenio Garzón 3950,Jardín de Infantes Nucleado B (EPCjc 17/11°) [Sede],11,9,BID 2 - Prestamo-1/2021,A confirmar,NA
PM-123,20023000,"Silla Escolar monocasco, 1 Ciclo altura 38 cm",88,José Pascual Tamborini 3948,Esc. Primaria Común N° 22 Felix de Azara,15,12,BID 3 - Convenio - 9-22 Ampl,24/8/2023,NA
PM-123,20134300,"Silla Escolar monocasco, 1 Ciclo altura 38 cm",52,Avda. Lafuente 559,Esc. Primaria Común N° 10 Ing. Octavio S. Pico,11,7,BID 3 - Convenio - 9-22 Ampl,24/8/2023,NA
PM-123,20135500,"Silla Escolar monocasco, 1 Ciclo altura 38 cm",40,Hidalgo 635,Esc. Primaria Común N° 20 Tte. Benjamín Matienzo,7,6,BID 3 - Convenio - 9-22 Ampl,24/8/2023,NA
PM-123,20019600,"Silla Escolar monocasco, 3 Ciclo altura 45 cm",14,Joaquín V. González 180,Esc. Primaria Común N° 03 Emilio Giménez Zapiola,12,10,BID 3 - Convenio - 9-22 Ampl,24/8/2023,NA
PM-123,20023000,"Silla Escolar monocasco, 3 Ciclo altura 45 cm",4,José Pascual Tamborini 3948,Esc. Primaria Común N° 22 Felix de Azara,15,12,BID 3 - Convenio - 9-22 Ampl,24/8/2023,NA
PM-123,20135500,"Silla Escolar monocasco, 3 Ciclo altura 45 cm",40,Hidalgo 635,Esc. Primaria Común N° 20 Tte. Benjamín Matienzo,7,6,BID 3 - Convenio - 9-22 Ampl,24/8/2023,NA
PM-123,20169300,"Silla Escolar monocasco, 3 Ciclo altura 45 cm",36,Deán Funes 1821,Esc. Normal Superior N° 11 Dr. Ricardo Levene,6,4,BID 3 - Convenio - 9-22 Ampl,24/8/2023,NA
PM-123,20029400,"Silla Escolar monocasco, Nivel Inicial altura 31 cm",90,San Luis 3224,Jardín de Infantes Nucleado B (EPCjs 08/02°) El Jardín del Abasto [Sede],2,3,BID 3 - Convenio - 9-22 Ampl,23/8/2023,NA
PM-123,20070900,"Silla Escolar monocasco, Nivel Inicial altura 31 cm",60,Julián Alvarez 2849,Jardín de Infantes Integral N° 01/01°,1,14,BID 3 - Convenio - 9-22 Ampl,23/8/2023,NA
PM-123,20105800,"Silla Escolar monocasco, Nivel Inicial altura 31 cm",30,Carlos María Ramírez 2272,Jardín de Infantes Nucleado A (EPCjc 08/19°),19,8,BID 3 - Convenio - 9-22 Ampl,A confirmar,NA
PM-123,20116500,"Silla Escolar monocasco, Nivel Inicial altura 31 cm",60,Arenales 2733,Jardín de Infantes Común N° 01/02°,2,2,BID 3 - Convenio - 9-22 Ampl,23/8/2023,NA
PM-123,20220400,"Silla Escolar monocasco, Nivel Inicial altura 31 cm",90,Olleros 3621,Jardín de Infantes Integral N° 03/14° El Jardín de Olleros,14,15,BID 3 - Convenio - 9-22 Ampl,23/8/2023,NA
RM-222,NA,Mesa de comedor con tapa plástica Soplada,4,Cátulo Castillo 2750,Biblioteca - Coordinación General,NA,NA,BID 3 - Convenio - 15-22,A confirmar,14028
RM-222,20086600,Mesa usos múltiples inicial 130x60cm,9,Gral. Urquiza 277,Esc. Normal Superior N° 02 en Lenguas Vivas Mariano Acosta,6,3,BID 3 - Convenio - 15-22 Ampl,5-oct,14661
RM-222,20109000,Mesa usos múltiples inicial 130x60cm,17,Nicolás Descalzi 5425,Jardín de Infantes Integral N° 02/21°,21,8,BID 3 - Convenio - 15-22 Ampl,5/10,14662
