n_proyecto,direccion,cui,estado_actual,estado_a_fin_de_obra,intervenciones,presupuesto_estimado,presupuesto_final,estado,subestado,fuente,pase_dgar,inicio_obra,plazo_obra,ampliacion_de_plazo,avance_de_obra,fin_obra,expediente,eje
x020,RONDEAU 2751 - BERNASCONI,0200312,NA,NA,Freno de deterioro en fachadas exteriores e interiores,NA,"$305.717.923,68",Licitación,licitación,F11,2/2/2023,2/6/2023,720,NA,NA,NA,EX-2023-05772890- -GCABA-DGINFE,Mejora Edilicia
x021,JURAMENTO 4849,0200707,REGULAR,BUENO,Impermeabilización e inst electrica completa,-,"$ 38.650.828,47",Planificado,relicitar proyecto,F14,12/7/2022,2/1/2023,150,NA,NA,NA,NA,Mejora Edilicia
x022,AVDA. SANTA FE 1510 / FRACASADA,0200003,NA,NA,"Patios, freno de deterioro en las fachadas.",NA,$72.051.211.52,Licitación,licitación,F11,01/12/2022,31/03/2023,240,NA,NA,NA,EX-2022-44084898- -GCABA-DGINFE,Mejora Edilicia
x023,SAN JUAN 1545 - FRENADA,0200137,REGULAR,BUENO,"Se realizará la reparación de revoques, filtraciones y trabajos de pintura. Instalación eléctrica completa.",$61.000.000,NA,Planificado,relicitar proyecto,F14,NA,Sin fecha de inicio,Sin plazo,NA,NA,NA,NA,Mejora Edilicia
x204,SAN JUAN 1545,0200137,REGULAR,BUENO,"Impermeabilizacion de todas las terrazas y cubiertas. tratamiento de patologias estructurales, hierros expuestos. Tratamiento de humedad de cimientos. Optimizacion en instalaciones pluvial.",NA,$ 13.566.984.79,Finalizado,finalizado,F11,19/04/2022,07/07/2022,120,30,100%,4/12/2022,NA,Mejora Edilicia
x024,24 DE NOVIEMBRE 1536,0200300,REGULAR,BUENO,"Accesibilidad, ascensor, instalacion electrica completa",NA,"$68.344.565,00",En Obra,en obra,F14 P37,NA,8/7/2022,240,NA,67%,30/5/2023,NA,Mejora Edilicia
x025,PARAGUAY 1950,0200029,BUENO,BUENO,Impermeabilizacion,NA,"$77.506.254,00",En Obra,en obra,F14 P37,NA,22/7/2023,240,NA,78%,30/6/2023,NA,Mejora Edilicia
x026,LIBERTAD 581,0200007,REGULAR,BUENO,"Freno de deterioro (escuela patrimoniada): restauración de las fachadas interiores (patios). Reparación de los revoques en paramentos interiores (circulaciones) afectados por humedad
De cimientos. Reparación de cielorrasos dañados por humedad.  Restauracion de zócalos perimetral de marmol, solados, escaleras principales, carpinterias y herrerias. Reacondicionamiento de aulas de jardín de infante. Colocacion de una rampa para dar accesibilidad. Adecuación de la instalación eléctrica de baja tensión y muy baja tensión, en planta baja y en
Primer piso",NA,"$67.044.161,00",En Obra,en obra,F11,NA,27/5/2022,270,NA,94%,31/5/2023,NA,Mejora Edilicia
x027,ESTADOS UNIDOS 1228 (5to),01228EU,NO APLICA,NO APLICA,Obra de finalizacion 5to piso dginfe,NA,"$19.520.019,30",Finalizado,neutralizada,F11,NA,12/5/2022,60,30,100%,10/8/2022,NA,Mejora Edilicia
x028,AVDA. JOSE MARIA MORENO 345,0200425,BUENO,BUENO,"Accesibilidad, ascensor. (amparo)",NA,"$17.821.000,00",Finalizado,finalizado,F11,NA,15/9/2021,210,60,100%,12/6/2022,NA,Mejora Edilicia
x029,TANDIL 6690,0200902,REGULAR,BUENO,"Accesibilidad, ascensor.",NA,"$12.226.784,76",Finalizado,finalizado,F11,NA,19/1/2022,180,183,100%,17/1/2023,NA,Mejora Edilicia
x030,AVDA. ALVAREZ JONTE 5075,0200829,BUENO,BUENO,Instalacion electrica completa,NA,"$26.157.164,59",Finalizado,finalizado,F14 P37,NA,19/8/2022,120,45,100%,31/1/2023,NA,Mejora Edilicia
x031,LAVALLE 1681,0200025,REGULAR,BUENO,"Mejora edilicia, instalacion electrica completa",NA,"$ 81.733.907,89",En Obra,en obra,F11,NA,3/6/2022,300,NA,84%,30/6/2023,NA,Mejora Edilicia
x032,AVDA. ENTRE RIOS 757,0200139,REGULAR,BUENO,"Instalacion electrica completa, impermeabilizacion, mejoras varias en el edificio",NA,"$89.300.252,00",En Obra,en obra,F11,NA,22/12/2021,210,210,61%,PARA RESCINDIR,PARA RESCINDIR,Mejora Edilicia
x033,AVDA. SALVADOR MARIA DEL CARRIL 3650,0200788,REGULAR,BUENO,"Restauración y puesta en valor de fachadas externas e internas (patio) -
Restauración de revoques en general, cielorrasos, solados, cambio de cubierta
De tejas coloniales, reacondicionamiento de locales en 1º piso, instalaciones eléctricas , sanitarias y termomecánicas",NA,"$86.810.548,23",En Obra,en obra,F11,4/8/2021,22/2/2022,270,83,90%,NEUTRALIZADA,NEUTRALIZADA,Mejora Edilicia
x034,ARCAMENDIA 743,0200259,REGULAR,BUENO,"Instalacion electrica completa, impermeabilizacion, restauracion de un sector de fachada",NA,"$94.738.009,00",En Obra,en obra,F11,NA,23/11/2021,365,75,69%,27/6/2023,NA,Mejora Edilicia
x035,AVDA. PASEO COLON 650,0200195,BUENO,BUENO,Instalacion electrica completa sector talleres,NA,"$58.814.916,00",En Obra,en obra,F11,NA,27/12/2021,180,180,66%,PARA RESCINDIR,PARA RESCINDIR,Mejora Edilicia
x036,AV DEL LIBERTADOR 8635,0200528,BUENO,BUENO,Sanitarios. (Fondos covid),NA,"$6.834.478,41",Finalizado,finalizado,F14 (COVID),NA,18/8/2022,120,30,100%,15/1/2023,NA,Mejora Edilicia
x037,JUJUY 255,0200322,BUENO,BUENO,Sanitarios. (Fondos inet),NA,"$ 13.441.665,36",En Obra,en obra,F14,17/10/2022,29/3/2023,120,NA,0%,1/8/2023,NA,Mejora Edilicia
x038,Gral. Enrique Martinez 1432,0200670,REGULAR,BUENO,Plan obras covid comedor,NA,"$4.411.382,73",Finalizado,finalizado,F14 (COVID),NA,12/7/2022,60,NA,100%,10/9/2022,NA,Mejora Edilicia
x039,MEXICO 1627,0200146,BUENO,BUENO,Sanitarios. (Fondos covid),NA,"$7.922.833,89",Finalizado,finalizado,F14,NA,18/8/2022,150,NA,100%,1/3/2023,NA,Mejora Edilicia
x040,NAVARRO 4344,0200790,REGULAR,BUENO,"Sanitarios, electricidad, accesibilidad y preceptoria",NA,"$56.429.389,00",En Obra,en obra,F11,NA,27/5/2022,180,90,69%,31/5/2023,NA,Mejora Edilicia
x041,OLIDEN 2855,0200629,REGULAR,MUY BUENO,"Etapa 2022-23 adecuación instalación eléctrica e incendio, accesibilidad básica con pintura en áreas significativas",NA,"$166.054.565,00",En Obra,en obra,F11,27/4/2022,1/12/2022,360,NA,3%,30/1/2024,NA,Mejora Edilicia
x042,RAMSAY 2250,0200519,REGULAR,BUENO,"Etapa 2022-23 adecuación de cubierta, instalación eléctrica",NA,"$86.686.411,00",En Obra,en obra,F11,11/5/2022,1/12/2022,180,NA,13%,30/7/2023,NA,Mejora Edilicia
x043,AVDA. GRAL. IRIARTE 3880,0200261,BUENO,BUENO,Traslado de aulas modulares + adecuación y tendido elect,NA,"$34.094.710,78",En Obra,en obra,F11,18/11/2021,23/8/2022,240,NA,43%,1/6/2023,NA,Mejora Edilicia
x044,JUNCAL 3251 / adicional proyecto aula,0200028,MUY BUENO,MUY BUENO,"Nuevo ascensor exterior - aumento caudal, reserva sanitaria",NA,"$ 15.232.617,67",En Obra,en obra,F11,22/10/2021,26/6/2022,180,120,75%,NEUTRALIZADA,NEUTRALIZADA,Mejora Edilicia
x045,YRUPE 6835,0200916,BUENO,BUENO,Ampliación de nucleos sanitarios / ampliacion del comedor / instalacion electrica del jardin,NA,"$ 101.206.554,82",Licitación,licitación,F11,16/1/2023,16/5/2023,210,NA,NA,NA,EX-2022-46262506- -GCABA-DGINFE,Mejora Edilicia
x046,AVDA. JUJUY 780,0200320,BUENO,BUENO,Cambio de chapas y pintura,NA,"$ 28.313.456,44",Finalizado,finalizado,F11,13/7/2022,20/01/2023,90,NA,100%,20/4/2023,NA,Mejora Edilicia
x047,AVDA. PTE. MANUEL QUINTANA 31,0200002,BUENO,BUENO,Acondicionamiento de fachadas/ adecuacion de supervision de1,NA,"$143.019.856,00",En Obra,en obra,F11,7/3/2022,1/12/2022,270,NA,5%,23/10/2023,NA,Mejora Edilicia
x048,VALLEJOS 2555 CAF,0200755,REGULAR,BUENO,"Etapa i2020 adecuacion espacios aulicos y ampliacion comedor pintura, accesibilidad",NA,"$ 58.754.054,88",Licitación,f14 - caf - rescindio,F14,31/10/2022,28/2/2023,Sin plazo,NA,NA,NA,EX-2022-38726115 -GCABA-DGINFE,Mejora Edilicia
x049,JOSE ANTONIO CABRERA 3430,0200085,REGULAR,BUENO,Reparaciones varias. Mejoras en núcleos sanitarios. Ejecución cuña desmontable. Tratamiento de humedad de cimientos. Trabajos sanitarios. Instalación eléctrica,NA,"$30.052.943,33",En Obra,en obra,F11,9/12/2021,8/7/2022,240,NA,90%,31/5/2023,NA,Mejora Edilicia
x050,AVDA. SANTA FE 5039,0200445,BUENO,BUENO,Instalación eléctrica,NA,"$65.295.070,00",En Obra,en obra,F11,26/11/2021,8/10/2022,120,60,68%,31/5/2023,NA,Mejora Edilicia
x051,AVDA. FRANCISCO BEIRO 4418,0200798,REGULAR,BUENO,"Cielorrasos, instalación iluminacion (taller de cerámica), puesta en valor y refuncionalizacion de la ex vivienda del casero y depositos en pb, carpinterías, instal elect, pintura",NA,"$ 35.284.539,66",En Obra,en obra,F11,24/11/2021,26/8/2022,180,NA,53%,30/6/2023,NA,Mejora Edilicia
x052,AVDA. LARRAZABAL 420,0200906,BUENO,BUENO,"Reparación en cubiertas, impermeabilización.",NA,"$ 29.352.835,14",En Obra,en obra,F11,16/6/2022,1/12/2022,150,NA,34%,31/5/2023,NA,Mejora Edilicia
x053,POLO SAAVEDRA,0202188,MUY BUENO,MUY BUENO,"Terminación vestuarios, pileta, sanitarios, estacionamiento, parquizado",NA,"$429.716.900,00",En Obra,en obra,F11,5/9/2022,20/1/2023,330,NA,5%,16/12/2023,NA,Mejora Edilicia
x054,ECHEVERRIA 5034,0200708,REGULAR,BUENO,"Demoliciones varias, reparaciones y provisión de nuevas carpinterías (herreria), accesibilidad basica, sanitario adaptado, patio, pintura gral.",NA,"$ 13.032.053,54",En Obra,en obra,F11,19/3/2022,23/9/2022,120,60,45%,31/5/2023,NA,Mejora Edilicia
x055,AYACUCHO 632 / PERU 1236 ASCENSORES,0201863,BUENO,BUENO,Adecuacion y puesto funcionamiento elevadores,NA,"$ 41.291.383,66",En Obra,en obra,F11,22/7/2022,22/12/2022,120,NA,60%,31/5/2023,NA,Mejora Edilicia
x056,ALMTE. FRANCISCO J. SEGUI 2580,0200666,REGULAR,BUENO,"Biblioteca, sala maestros, filtraciones",NA,"$ 12.991.258,81",Finalizado,finalizado,F11,19/5/2022,20/10/2022,120,NA,100%,23/2/2023,NA,Mejora Edilicia
x057,CUZCO 116,0200821,REGULAR,BUENO,Cambio de cubiertas. Reacondicionamiento sanitario. Reparaciones varias. Pintura. Instalacion electrica completa,NA,"$ 48.586.390,82",En Obra,en obra,F11,27/12/2021,26/9/2022,270,NA,59%,30/6/2023,NA,Mejora Edilicia
x058,AVDA. CURAPALIGUE 1150,0200428,BUENO,BUENO,Refaccion integral edilicia accesibilidad plena carpinteria y pintura patio,NA,"$ 88.261.808,24",Fracasado,licitación,F11,25/1/2022,25/5/2022,240,NA,NA,NA,EX-2022-05350211- -GCABA-DGINFE,Mejora Edilicia
x059,FITZ ROY 171,0200665,REGULAR,BUENO,"Accesibilidad basica,  cubierta, pintura hall y patio. Instalacion electrica completa",$ 45.000.000,"$102.417.254,07",Licitación,licitación,F11,2/5/2023,30/8/2023,180,NA,NA,NA,EX-2023-16016711- -GCABA-DGINFE,Mejora Edilicia
x060,AVDA. SAN JUAN 2277,0200136,REGULAR,BUENO,Proyecto de accesibilidad y pintura general. Agregar impermeabilización. Expediente: construccion de galeria en patio para paso (jardin),$ 60.000.000,-,Planificado,banco de proyectos,F11,19/11/2023,18/3/2024,330,NA,NA,NA,NA,Mejora Edilicia
x061,CARLOS CALVO 3150 - LA RIOJA 1042,0200326,REGULAR,BUENO,2 aulas de jardín. Accesibilidad plena adecuacion pintura acceso y circulaciones. Casa casero,NA,"$ 125.052.938,19",Licitación,licitación,F11,17/1/2023,17/5/2023,300,NA,NA,NA,EX-2023-03175368- -GCABA-DGINFE,Mejora Edilicia
x062,LOS PATOS 3004,0202179,MUY BUENO,MUY BUENO,Ampliación aulas y comedor,NA,"$74.154.001,55",Fracasado,licitación,F14,29/12/2022,28/4/2023,240,NA,NA,NA,EX-2022-47910228- -GCABA-DGINFE,Mejora Edilicia
x063,MERCEDES 4002,0200794,BUENO,BUENO,", Adecuacion de cubierta, pluviales, carpinteria. Arreglo de revoques en aulas y patio. Adecuacion pintura interior de areas significantes y patio. Agregar sdf",NA,"$ 252.712.970,48",Fracasado,licitación,F11,13/3/2023,11/7/2023,300,NA,NA,NA,EX-2023-08661340-   -GCABA-DGINFE,Mejora Edilicia
x064,JUAN CARLOS GOMEZ 253,0200253,REGULAR,BUENO,"Acondicionamiento inst electrica incendio, carpinteria arreglo de revoque y piso patio + adecuacion casa casero para re ubicación aula adecuacion pintura interior pasillos (dgmesc pintaria aulas ) y areas significantes  + patio y fachada",NA,"$67.527.137,00",En Obra,en obra,F11,7/7/2022,1/12/2022,180,NA,33%,30/6/2023,NA,Mejora Edilicia
x065,CHILE 1626,0200123,REGULAR,BUENO,"Etapa 2022-23 adecuación de cubierta, patio, instalación eléctrica completa (amparo) y pintura",$ 45.000.000,-,En Proyecto,en proyecto/instalaciones,F11,15/6/2023,13/10/2023,210,NA,NA,NA,NA,Mejora Edilicia
x066,PELLEGRINI 1515,0200032,BUENO,BUENO,Puesta en valor del sum y accesibilidad basica,NA,"$ 91.749.090,44",En Obra,en obra,F11,17/10/2022,1/3/2023,210,NA,0%,1/10/2023,NA,Mejora Edilicia
x067,AVDA. SAN PEDRITO 1415,0200552,BUENO,BUENO,"Patio cubierto, creacion de un comedor con sanitarios",$ 45.000.000,NA,Planificado,a iniciar proyecto,F11,5/10/2023,2/2/2024,270,NA,NA,NA,NA,Mejora Edilicia
x068,TTE. GRAL. JUAN DOMINGO PERON 1140,0200009,REGULAR,BUENO,"Adecuacion de cubierta , sanitario ,electricidad , cielorraso , carpinteria                                                          arreglo de revoques  en aulas y patio                                                                 adecuacion pintura interior de areas significantes  y patio",$ 40.000.000,-,Planificado,banco de proyectos,F11,28/12/2023,26/4/2024,240,NA,NA,NA,NA,Mejora Edilicia
x069,HELGUERA 2435,0200777,REGULAR,BUENO,Accesibilidad básica. Puesta en valor de carpinterías (algunas sin vidrio de seguridad o policarbonato y elementos corroídos). Adecuación de instalación eléctrica. Acondicionamiento de la instalación de gas y termomecánic. Arreglo de humedad y revoques. Pintura,$ 30.000.000,NA,En Proyecto,en proyecto,F11,23/9/2023,21/1/2024,180,NA,NA,NA,NA,Mejora Edilicia
x070,PEDRO LOZANO 3056,0200797,REGULAR,BUENO,Impermeabilizacion parcial y pintura de cielorrasos. Albañileria. Reparacion de escaleras. Humedad de cimientos.,$ 30.000.000,-,En Proyecto,cyp,F11,15/5/2023,12/9/2023,300,NA,NA,NA,NA,Mejora Edilicia
x071,ROQUE PEREZ 3545 (amparo),0200508,BUENO,BUENO,"Amparo - accesibilidad plena (ascensor, baño de disca y reorganizacion de office, patio de jardin a pb). Instalacion electrica completa. Instalacion sanitaria.",$ 65.000.000,NA,En Proyecto,en proyecto/instalaciones,F11,7/7/2023,4/11/2023,270,NA,NA,NA,NA,Mejora Edilicia
x072,TRONADOR 4134,0200728,BUENO,BUENO,"Reparación de humedad de cimientos, reparación de las mamposterías afectadas y pintura integral. Impermeabilización de cubiertas, en sector con filtraciones y respiración de cielorrasos.
Acondicionamiento de baños",$ 25.000.000,NA,Planificado,banco de proyectos,F11,9/10/2023,6/2/2024,180,NA,NA,NA,NA,Mejora Edilicia
x073,AVDA. ANGEL GALLARDO 246,0200088,REGULAR,BUENO,"Restauracion patrimonial,impermeabilizacion, cielorrasos, acondicionamiento instalaciones y  pintura patios",NA,"$ 44.721.806,39",Fracasado,f14 - dgar,F14,12/7/2022,9/11/2022,240,NA,NA,NA,EX-2022-24687313- -GCABA-DGINFE,Mejora Edilicia
x074,CATAMARCA 462,0200298,BUENO,BUENO,Pintura general y arreglos de algunos sectores de revoque.,NA,"$14.302.497,40",Finalizado,finalizado,F14,25/07/2022,20/1/2023,90,NA,100%,11/4/2023,NA,Mejora Edilicia
x075,QUESADA 4357,0200729,REGULAR,BUENO,Acondicionamiento de pisos y cielorraso. Revision de instalacion electrica.  Provisión de agua. Arreglo de revoque en fachada internas. Adecuacion de sanitarios. pintura completa. Humedad de cimiento sobre medianera. Intervencion casa del casero.,$ 25.000.000,NA,En Proyecto,cyp,F11,5/6/2023,3/10/2023,210,NA,NA,NA,NA,Mejora Edilicia
x076,AVDA. LARRAZABAL 4520,0200950,BUENO,BUENO,"Instalación eléctrica completa, filtraciones, cambio de parasoles, pintura general",$ 40.000.000,"$ 298.655.215,72",Fracasado,en licitacion,F11,4/4/2023,2/8/2023,360,NA,NA,NA,EX-2023-10989756- -GCABA-DGINFE,Mejora Edilicia
x077,CUBA 2410,0200530,BUENO,BUENO,"Instalacion electrica y  termomecanica, filtracion por cubierta.",NA,"$327.495.765,25",Fracasado,licitación,F11,1/2/2023,1/6/2023,240,NA,NA,NA,EX-2023-05630705- -GCABA-DGINFE,Mejora Edilicia
x078,CAMARGO 725,0200354,REGULAR,BUENO,"Acondicionamiento  de acc basica cubierta (nueva toda la cubierta del gym),inst electricidad,  incendio, cambio calera, prov agua , arreglos menores de revoques patio. pintura general.  Mobiliario para guardado",NA,"$ 123.399.625,01",Licitación,licitación,F11,12/9/2022,10/1/2023,180,NA,NA,NA,EX-2022- 32063179 -GCABA-DGINFE,Mejora Edilicia
x079,HUMBERTO Iº 3171,0200302,REGULAR,BUENO,"Acondicionamiento  de acc basica, sanitarios , inst electrica e incendio, prov de agua , cielorraso   , carpinteria ,arreglo patio y  muros con sus revoques. pintura  y patio",NA,"$205.148.895,05",Fracasado,licitación,F11,27/3/2023,25/7/2023,300,NA,NA,NA,EX-2023- 10406695-GCABA-DGINFE,Mejora Edilicia
x080,AQUINO 6040,0200962,REGULAR,BUENO,"Instalacion electrica completa, remodelacion de nucleo sanitario en pb y nucleos sanitarios a nuevos en 1 y 2 piso. accesibilida plena (ascensor, solado rampante en gym y baño de disca en 2 piso). Ampliacion de 4 aulas (3 jin). pintura. calefaccion.",$ 40.000.000,NA,En Proyecto,en proyecto,F11,10/7/2023,7/11/2023,-,NA,NA,NA,NA,Mejora Edilicia
x081,LACARRA 1135,0200628,BUENO,BUENO,"Cubierta, carpinterias (madera, deterioradas), playon de acceso, puesta en valor sector original del edificio",$ 30.000.000,NA,Planificado,a iniciar proyecto,F11,24/12/2023,22/4/2024,180,NA,NA,NA,NA,Mejora Edilicia
x082,DON BOSCO 4200,0200412,REGULAR,BUENO,"Accesibilidad plena, sanitarios, freno de deterioro en fachada y puesta en valor de carpinterias, pintura, incendio (a definir)",$ 65.000.000,-,En Proyecto,en proyecto,F11,14/9/2023,12/1/2024,300,NA,NA,NA,NA,Mejora Edilicia
x083,AVDA. RIVADAVIA 3577,0200097,BUENO,BUENO,"Reparación de estructura y vitreaux en el salón de actos del 1º piso, sanitarios, carpinterias, instalacion electrica, pintura, fisuras en pb y ss. Pintura. Cubierta e impermeabilizacion.",$ 50.000.000,NA,En Proyecto,en proyecto,F11,13/9/2023,11/1/2024,240,NA,NA,NA,NA,Mejora Edilicia
x084,CUBA 2039,0200496,BUENO,BUENO,"Sanitarios, cubierta, carpinterias y pintura",NA,"$131.838.373,32",Licitación,licitación,F11,27/2/2023,27/6/2023,210,NA,NA,NA,EX-2023-05771336-GCABA-DGINFE,Mejora Edilicia
x085,MOLDES 1858,0200497,BUENO,BUENO,"Sanitarios, patios, cubierta (impermeabilizacion y arreglos de cubierta parabolica), cielorrasos, puesta en valor de escalera y aulas. Ie completa",$ 35.000.000,NA,En Proyecto,en proyecto,F11,2/9/2023,31/12/2023,210,NA,NA,NA,NA,Mejora Edilicia
x086,AVDA. CABILDO 3615,0200501,REGULAR,BUENO,"Sanitarios, impermeablizacion y pintura / ie completa",$ 40.000.000,NA,Planificado,a iniciar proyecto,F11,21/11/2023,20/3/2024,240,NA,NA,NA,NA,Mejora Edilicia
x087,AVDA. DON PEDRO DE MENDOZA 1835,0200178,REGULAR,BUENO,"Acondicionamiento  de cubierta, instalacion sanitario, electrica e incendio. Arreglo de revoques menores en aulas.  Adecuacion pintura interior de areas significantes  y patio.",$ 98.800.000,NA,En Proyecto,suspendido,F11,12/2/2024,11/6/2024,-,NA,NA,NA,NA,Mejora Edilicia
x088,AVELINO DIAZ 2356,0200568,BUENO,BUENO,"Adecuar patios, carps, impermeabilización y reparación de muros afectados, electrica completa, incendio, accesibilidad basica, pintura",$ 50.000.000,NA,Planificado,a iniciar proyecto,F11,29/9/2023,27/1/2024,270,NA,NA,NA,NA,Mejora Edilicia
x089,AYACUCHO 1680,0200001,BUENO,BUENO,Facahadas y carpinterias / aula de gines,$ 50.000.000,NA,En Proyecto,en proyecto,F11,16/9/2023,14/1/2024,240,NA,NA,NA,NA,Mejora Edilicia
x090,DR. ANTONIO BERMEJO 6675 -MODULARES BERMEJO,0202391,NO APLICA,NO APLICA,Adaptacion de modulares en un cfp / acceso independiente / cambiar sanitarios / instalaciones/ aula,-,"$ 38.125.323,83",En Proyecto,falta apto financiero,F14,NA,10/9/2022,Sin plazo,NA,NA,NA,NA,Mejora Edilicia
x091,GRAL. VENANCIO FLORES 3869,0200600,REGULAR,BUENO,Ampliación - rehabilitación parcial - instalación eléctrica,NA,"$78.558.808,00",En Obra,en obra,F11,03/02/2022,1/11/2022,300,NA,29%,28/8/2023,NA,Mejora Edilicia
