cui,distrito,nombre_establecimiento,domicilio_edificio,numero_escuela
0200042,1,CENS N° 63,MARCELO T. DE ALVEAR 1840,63
0200057,1,JM N° 06/01°,PARAGUAY 1657,06
0200063,1,ESCUELA INF. N° 08/01°,AVDA. LAS HERAS 2670,08
0200076,2,EPC N° 02 JUAN LARREA - ESC. DE MUSICA N° 10,LAPRIDA 1235,02-10
0200077,2,EPC N° 03 MANUEL SOLA - JIN C (EPCJS 03/02°) - CENOF CENTRO LAMBARE,LAMBARE 975,03-03
0200078,2,JIN A (EPCJS 04/02°) - EPC N° 04 AMADEO JACQUES,SOLER 3929,04-04
0200079,2,EPC N° 06 GRAL. MARTIN RODRIGUEZ - CENOF CENTRO ANCHORENA,DR. TOMAS MANUEL DE ANCHORENA 441,06
0200080,2,EPC N° 07 DEL CENTENARIO - JIN C (EPCJC 07/02°),RIO DE JANEIRO 986,07-07
0200081,2,EPC N° 08 DR. ARTURO MATEO BAS - JIN B (EPCJS 08/02°) JARDIN DEL ABASTO,TUCUMAN 3233,08-08
0200082,2,CENS N° 40 - EPC N° 09 CNEL. GENARO BERON DE ASTRADA - JIN A (EPCJS 09/02°) [S],EL SALVADOR 4037,40-09-09
0200083,2,JIC N° 01/02° - EPC N° 10 GREGORIA PEREZ - EPA N° 10 GREGORIA PEREZ,ARENALES 2733,01-10-10
0200084,2,EPC N° 11 PROVINCIA DE JUJUY - JIN C (EPCJC 11/02°) - CENS N° 29,OBRERO ROBERTO NUÑEZ 4355,11-11-29
0200085,2,Sup Inicial III B - JII N° 04/02º,JOSE ANTONIO CABRERA 3430,04
0200086,2,Supervisión de Nivel Primaria DE 02 - EPC N° 14 JUAN MARTIN DE PUEYRREDON - EPA N° 14 JUAN MARTIN DE PUEYRREDON,AVDA. PUEYRREDON 630,02-14-14
0200087,2,EPC N° 16 PRESIDENTE MITRE - EPA N° 16 PRESIDENTE MITRE - ESCUELA INF. N° 05/02°,SARMIENTO 2832,16-16-05
0200088,2,EPC N° 17 PRESIDENTE URIBURU - JIN C (EPCJC 17/02°) [S] - CENOF CENTRO ANGEL GALLARDO - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL INFANTIL N° 02,AVDA. ANGEL GALLARDO 246,17-17-02
0200089,2,EPC N° 18 ALEJANDRO CARBO - JIN D (EPCJC 18/02°) - EEM N° 01/02° E.REINGRESO,MARIO BRAVO 234,18-18-01
0200090,2,EPA N° 19 FLORENCIO BALCARCE - JIN D (EPCJC 19/02°) - EPC N° 19 FLORENCIO BALCARCE,FRANCISCO ACUÑA DE FIGUEROA 850,19-19-19
0200091,2,EPC N° 20 ROSARIO VERA PEÑALOZA - JIN D (EPCJS 20/02°) [S] - CENOF CENTRO PRINGLES,PRINGLES 1165,20-20
0200092,2,EPC N° 22 CARLOS JAVIER BENIELLI - JIN D (EPCJS 22/02°),SANCHEZ DE BUSTAMANTE 260,22-22
0200093,2,CENS N° 01 - EPC N° 23 TOMAS MANUEL DE ANCHORENA - ESEA  DANZA RAMICONE  FOLKLORE N° 02,DR. TOMAS MANUEL DE ANCHORENA 855,01-23-02
0200094,2,JIN B (EPCJS 24/02°) JARDIN DEL ABASTO - CENS N° 16 - EPC N° 24 PROVINCIA DE CATAMARCA - ESEA  DANZA MASTRAZZI  DNZA  JUVIL N° 07,JEAN JAURES 870,24-16-24-07
0200095,2,EPA N° 13 REPUBLICA ISLAMICA DE IRAN - EPC N° 13 REPUBLICA ISLAMICA DE IRAN,JOSE ANTONIO CABRERA 3484,13-13
0200096,2,INST. DE TIEMPO LIBRE Y RECREACION - LICEO N° 01 JOSE FIGUEROA ALCORTA,AVDA. SANTA FE 2778,01
0200097,2,Sup Media Region III - COLEGIO N° 03 MARIANO MORENO - IFTS N° 28,AVDA. RIVADAVIA 3577,03-28
0200098,2,COLEGIO N° 06 MANUEL BELGRANO - COLEGIO N° 15 REVOLUCION DE MAYO,ECUADOR 1158,06-15
0200099,2,COLEGIO N° 05 BARTOLOME MITRE - COLEGIO N° 14 JUAN JOSE PASO - PI LUCIERNAGAS,VALENTIN GOMEZ 3163,05-14
0200100,2,Polideportivo ESC. TEC. N° 30 DR. NORBERTO PIÑERO - ESC. TEC. N° 30 DR. NORBERTO PIÑERO,JERONIMO SALGUERO 920,30-30
0200101,2,ENS N° 06 VICENTE LOPEZ Y PLANES,GUEMES 3859,06
0200102,2,ESPACIO PRIMERA INFANCIA ESC. DE COM. N° 25 - ENS N° 07 JOSE MARIA TORRES - ESC. DE COM. N° 08 PATRICIAS ARGENTINAS - ESC. DE COM. N° 25 SANTIAGO DE LINIERS,AVDA. CORRIENTES 4261,25-07-08-25
0200103,2,ESC. INTEGRAL INTERDISCIPLINARIA N° 02,JOSE ANTONIO CABRERA 4078,02
0200104,2,ESCUELA INF. N° 02/02° PAMPITA,GUARDIA VIEJA 3950,02
0200105,2,CENTRO DE ACTIVIDADES INFANTILES Y JUVENILES CLUB ALMAGRO - Polideportivo - Anexo Normal Nº07,SARMIENTO 4041,07
0200106,2,ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 10 - ESC. SUPERIOR DE EDUCACIÓN ARTÍSTICA EN ARTE CERÁMICO N° 01,BULNES 45,10-01
0200107,2,CENS N° 20 - ESCUELA DE LA JOYA MAESTRO JOYERO SERGIO LUKEZ,LEZICA 3955,20
0200110,2,CFP N°29,AVDA. DÍAZ VELEZ 4093,29
0200113,2,JM N° 03/02°,GALLO 1340,03
0200120,2,EPC N° 05 URSULA LLAMES DE LAPUENTE - IFTS N° 18 - CEC IDIOMAS EXTRANJEROS N° 02,GRAL. LUCIO NORBERTO MANSILLA 3643,05-18-02
0200123,3,ESCUELA INF. N° 02/03° MANE BERNARDO,CHILE 1626,02
0200124,3,JIN D (EPCJC 03/03°) - CENS N° 12 - EPC N° 03 MARIA SANCHEZ DE THOMPSON,TACUARI 567,03-12-03
0200125,3,EPC N° 04 CNEL. ISIDORO SUAREZ - IFTS N° 09 - CENS N° 43 - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL JUVENIL N° 08 - JIN D (EPCJS 04/03°) [S],REPÚBLICA BOLIVARIANA DE VENEZUELA 771,04-09-43-08-04
0200126,3,Sup Inicial I C - EPC N° 05 AGUSTIN ALVAREZ - JII N° 01/03° - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 13,HUMBERTO 1° 1573,05-01-13
0200127,3,EPC N° 07 GRAL. GÜEMES - CENS N° 54,CARLOS CALVO 1140,07-54
0200128,3,JIN B (EPCJS 09/03°) - EPC N° 09 MARIANO MORENO - EPA N° 09 MARIANO MORENO,MORENO 2104,09-09-09
0200129,3,EPC N° 11 DR. RICARDO GUTIERREZ - CEC IDIOMAS EXTRANJEROS N° 03,PTE. LUIS SAENZ PEÑA 1215,11-03
0200130,3,EPC N° 14 GRAL. MARIANO NECOCHEA,PTE. LUIS SAENZ PEÑA 463,14
0200131,3,EPC N° 15 FRANCISCO NARCISO DE LAPRIDA - JIN B (EPCJS 15/03°) - CENS N° 50,MEXICO 2383,15-15-50
0200132,3,EPA N° 16 EUSTAQUIO CARDENAS - EPC N° 16 EUSTAQUIO CARDENAS,SALTA 1226,16-16
0200133,3,EPA N° 22 CARLOS PELLEGRINI - JIN A (EPCJS 22/03°) - EPC N° 22 CARLOS PELLEGRINI - CENS N° 44 - JIN A (EPCJC 21/03°) - EPC N° 21 CARLOS PELLEGRINI - Sup Primaria DE03 A - Centro de Terminalidad a Distancia[sede] - Sup Adultos Region I A - Bib.del Docente Dist.3 Carlos Pellegrini,AVDA. ENTRE RIOS 1359,22-22-22-44-21-21-03-3
0200135,3,JIN B (EPCJC 23/03°) [S] - CENS N° 37 SEDE - EPC N° 23 GRAL. VIAMONTE,PASCO 961,23-37-23
0200136,3,CENS N° 59 - EPC N° 25 GERVASIO POSADAS - EPA N° 25 GERVASIO POSADAS - JIN A (EPCJC 25/03°) [S] - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL INFANTIL N° 05,AVDA. SAN JUAN 2277,59-25-25-25-05
0200137,3,PI LUCECITAS - CENS N° 18 - COLEGIO N° 01 BERNARDINO RIVADAVIA - ESC. DE COM. N° 36 ISAAC HALPERIN,AVDA. SAN JUAN 1545,18-01-36
0200138,3,COLEGIO N° 07 JUAN MARTIN DE PUEYRREDON,CHACABUCO 922,07
0200139,3,Sup Adultos Region II B - Sup Adultos Region IV B - ESC. DE COM. N° 05 JOSE DE SAN MARTIN - CENS N° 04 - IFTS N° 10 - CENS N° 27 - IFTS N° 24 - EEM N° 01/03° E.REINGRESO,AVDA. ENTRE RIOS 757,05-04-10-27-24-01
0200140,3,CENS N° 34 - ESC. DE COM.  N° 34 MONSEÑOR MIGUEL DE ANDREA,MORENO 2135,34-34
0200141,3,ESC. PARA NIÑOS Y NIÑAS CON DISCAPACIDAD MENTAL N° 14 CONSTANCIO C. VIGIL,AVDA. INDEPENDENCIA 668,14
0200142,3,ESC. PARA JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y DE FORMACIÓN INTEGRAL N° 22 P B PALACIOS ALMAFUERTE - CENOF CENTRO INTEGRADOR ALMAFUERTE,AVDA. SAN JUAN 2128,22
0200143,3,ESC. PARA JÓVENES Y ADULTOS CON DISCAPACIDAD VISUAL Y FORMACIÓN INTEGRAL N° 37 FRANCISCO GATTI,AVDA. INDEPENDENCIA 672,37
0200144,3,ESC. INTEGRAL INTERDISCIPLINARIA N° 03,PIEDRAS 1430,03
0200145,3,EPC N° 13 PROV. SANTIAGO DEL ESTERO - CENS N° 42,CHILE 1371,13-42
0200146,3,JII N° 04/03° EL JARDIN DEL MANZANO,MEXICO 1627,04
0200147,3,EPJs 2 - Polideportivo - EPC N° 02 FRAY CAYETANO RODRIGUEZ,CHILE 1670,2-02
0200148,3,JIC N° 03/03° SAN TELMO,PIEDRAS 860,03
0200163,3,ESC. PARA JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y DE FORMACIÓN INTEGRAL N° 22 P B PALACIOS ALMAFUERTE [A:CR],COCHABAMBA 2147,22
0200168,3,EPA N° 01 VALENTIN GOMEZ - EPC N° 01 VALENTIN GOMEZ - CENS N° 36 - ESEA DANZA RAMICONE FOLKLORE N° 03,AVDA. INDEPENDENCIA 758,01-01-36-03
0200173,4,EPC N° 01 ALTE. GUILLERMO BROWN - EEM N° 07/04° ESCUELA DE LA RIBERA,ARISTOBULO DEL VALLE 471,01-07
0200174,4,EPC N° 02 CARLOS RAMON VIGNALE - EPA N° 02 CARLOS RAMON VIGNALE,WENCESLAO VILLAFAÑE 453,02-02
0200175,4,EPC N° 03 JUAN MARIA GUTIERREZ - JIN C (EPCJC 03/04°),ROCHA 1226,03-03
0200176,4,EPC N° 04 JOSE JACINTO BERRUTTI,BENITO QUINQUELA MARTIN 1081,04
0200177,4,Sup Inicial II A - EPC N° 08 CARLOS DELLA PENNA - JIC N° 02/04° CARLOS DELLA PENNA - ESC. DE MUSICA N° 01,BRAUN MENENDEZ 260,08-02-01
0200178,4,Museo de Bellas Artes de Artistas Argentinos Benito Quinquela Martin - EPC N° 09 BENITO QUINQUELA MARTIN - CENS N° 32 - CENOF CENTRO MUSEO QUINQUELA MARTIN - JII N° 01/04° BENITO QUINQUELA MARTIN,AVDA. DON PEDRO DE MENDOZA 1835,09-32-01
0200179,4,EPC N° 10 GRAL. ARAOZ DE LAMADRID,GRAL. GREGORIO ARAOZ DE LAMADRID 499,10
0200180,4,CENS N° 39 - EPC N° 11 ANTONIO J. BUCICH - JII N° 04/04° - CAIYJ LA BOCA,BRANDSEN 1057,39-11-04
0200181,4,Sup Primaria DE 04 A Sup Adultos Region V A - EPA N° 13 REPUBLICA DE CHILE - EPC N° 13 REPUBLICA DE CHILE - JIN C (EPCJC 13/04°),SUAREZ 1131,04-13-13-13
0200182,4,EPC N° 14 AGUSTIN RAFAEL CAFFARENA,NECOCHEA 1136,14
0200183,4,EPC N° 18 PROVINCIA DE LA RIOJA,HERNANDARIAS 556,18
0200184,4,EPC N° 19 REPUBLICA ITALIANA - JIN C (EPCJC 19/04°),RIO CUARTO 1249,19-19
0200186,4,EPC N° 22 DR. GUILLERMO RAWSON - CECIE N° 04,HUMBERTO I° 343,22-04
0200187,4,EPC N° 24 PRESIDENTE DERQUI - JIN C (EPCJS 24/04°),CALIFORNIA 1925,24-24
0200188,4,CENTRO CULTURAL FORTUNATO LACÁMERA - EPC N° 26 HIPOLITO YRIGOYEN - JII N° 09/04°,AVDA. SAN JUAN 353,26-09
0200189,4,EPC N° 27 DEAN FUNES - CENOF CENTRO DEFENSA,DEFENSA 1431,27
0200190,4,JIN C (EPCJC 28/04°) [S] - EPC N° 28 FRANCISCO PASCASIO MORENO - CAIYJ CLUB LA BOCA,JOSE AARON SALMUN FEIJOO 1073,28-28
0200191,4,CENS N° 45 - EPA N° 29 MANUEL BELGRANO,GRAL. GREGORIO ARAOZ DE LAMADRID 676,45-29
0200193,4,CAIYJ BARRACAS - PI ESPACIO BARRACAS - ESC. DE COM.  Nº 01 DE 04 JOAQUÍN V. GONZALEZ - COLEGIO N° 11 HIPOLITO YRIGOYEN,BENITO QUINQUELA MARTIN 1649,01-04-11
0200194,4,ESC. POLITEC. MANUEL BELGRANO,BOLIVAR 346,
0200195,4,Sup Media Tecnica Region I - IFTS Nº 06 - ESC. TEC. N° 01 ING. OTTO KRAUSE,AVDA. PASEO COLON 650,06-01
0200196,4,Sup Media Tecnica Region II Este - ESC. TEC. N° 31 MAESTRO QUINQUELA,AVDA. DON PEDRO DE MENDOZA 1777,31
0200197,4,ESEA ARTES VISUALES MANUEL BELGRANO,WENCESLAO VILLAFAÑE 1342,
0200198,4,CENS N° 51 - CFP N° 01,RIO CUARTO 1993,51-01
0200199,4,ENS N° 03 BERNARDINO RIVADAVIA (SEDE) - ENS N° 03 BERNARDINO RIVADAVIA (Anexo Nivel Inicial),BOLIVAR 1235,03-03
0200200,4,ESC. TEC. N° 15 MAIPU - UNIVERSIDAD DE LA CIUDAD,AVDA. PASEO COLON 255,15
0200201,4,ESCUELA INF. N° 03/04°,AZOPARDO 1504,03
0200202,4,ESC. INTEGRAL INTERDISCIPLINARIA N° 04,AVDA. ALMTE. BROWN 473,04
0200214,4,EEM N° 02/04° E.REINGRESO,AVDA. REGIMIENTO DE PATRICIOS 1933,02
0200216,4,ENS Nº 05 GRAL. M. M. DE GÜEMES[A:Polideportivo],CALIFORNIA 1851,05
0200222,4,CAIYJ CLUB SAN TELMO/Polideportivo Martina Cespedes,BOLIVAR 1280,
0200223,5,POLIDEPORTIVO 9 DE JULIO,AVDA. SUAREZ 1851,9
0200224,5,EPC N° 01 EST. PLURINACIONAL DE BOLIVIA - CECIE N° 05,GRAL. HORNOS 530,01-05
0200225,5,EPC N° 02 PATRICIOS - JII N° 08/05°,AVDA. ALMAFUERTE 66,02-08
0200226,5,ESC. DE MUSICA N° 05 - EPC N° 03 BERNARDO DE IRIGOYEN - JIN A (EPCJS 03/05°) - Sup Inicial II B A Sup Primaria DE05 - ESC. DE MUSICA N° 05,AVDA. MANUEL MONTES DE OCA 439,05-03-03-05-05
0200227,5,JIN B (EPCJS 04/05°) - EPC N° 04 CNEL. DE MARINA TOMAS ESPORA,SOLIS 1815,04-04
0200228,5,JIN B (EPCJS 06/05°) (SEDE) - EPC N° 06 TOMAS GUIDO,SAN JOSE 1985,06-06
0200229,5,EPC N° 07 JUAN DE GARAY - EPA N° 07 JUAN DE GARAY - JIN A (EPCJS 07/05°) (SEDE),AVDA. CASEROS 734,07-07-07
0200230,5,EPC N° 08 CARLOS NORBERTO VERGARA - JIN B (EPCJS 08/05°),AVDA. AMANCIO ALCORTA 1934,08-08
0200231,5,JIC N° 03/05° - EPC N° 09 JOSE PEDRO VARELA,LUZURIAGA 1571,03-09
0200232,5,EPC N° 10 DEAN DIEGO E. DE ZAVALETA - CENS N° 75,IGUAZU 1110,10-75
0200233,5,EPC N° 11 REPUBLICA DE HAITI - EPA N° 11 REPUBLICA DE HAITI - UGEE N° 06 BACHILLERATO POPULAR DE ADULTOS Y ADOLESCENTES 2 DE DICIEMBRE - BACH.POP. DE JOVENES Y ADULTOS VILLA 21 24,LAFAYETTE 1879,11-11-06-2-21-24
0200235,5,EPC N° 13 FRAY MAMERTO ESQUIU,SALOM 332,13
0200236,5,JIC N° 04/05° SEDE - EPC N° 14 PROVINCIA DE SAN LUIS,CACHI 77,04-14
0200237,5,EPC N° 15 ARZOBISPO MARIANO A. ESPINOSA - JIN A (EPCJS 15/05°),AVDA. MANUEL MONTES DE OCA 807,15-15
0200238,5,EPA N° 16 SABINA BOVE DE BOZALLA - EPC N° 16 SABINA BOVE DE BOZALLA,AVDA. AMANCIO ALCORTA 3402,16-16
0200239,5,EPC N° 17 PEDRO MELITON LEDESMA - EPA N° 17 PEDRO MELITON LEDESMA,TRAFUL 3835,17-17
0200240,5,JIN B (EPCJC 18/05°) - EPC N° 18 JUAN ENRIQUE PESTALOZZI - ESEA DANZA MASTRAZZI N° 09 - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL JUVENIL N° 01,AVDA. CASEROS 2152,18-18-09-01
0200241,5,EPC N° 19 PROVINCIA DE FORMOSA,ELIA 473,19
0200242,5,EPC N° 20 NIEVES ESCALADA DE OROMI,SAN ANTONIO 682,20
0200243,5,EPC N° 23 LORENZO ANADON - CENOF CENTRO TRAFUL,TRAFUL 3847,23
0200244,5,EPC N° 24 CONTRALMIRANTE MARTIN GUERRICO,LYNCH 3536,24
0200245,5,EPC N° 25 MARCOS PAZ,AVDA. AMANCIO ALCORTA 2502,25
0200246,5,EPC N° 26 BRIGADIER MIGUEL DE AZCUENAGA - JIN B (EPCJC 26/05°),PICHINCHA 1873,26-26
0200247,5,EPC N° 27 MANUEL DE SARRATEA - EPA N° 27 MANUEL DE SARRATEA,VIEYTES 1469,27-27
0200248,5,ESCUELA INF. N° 07/05° PADRE DANIEL DE LA SIERRA,ALVARADO 3295,07
0200249,5,ESCUELA INF. N°05/05° MARIA EVA DUARTE DE PERON,PROF. DR. PEDRO CHUTRO 3380,05
0200250,5,ESCUELA INF. N° 06/05° ROSARIO VERA PEÑALOZA,AVDA. MANUEL MONTES DE OCA 16,06
0200251,5,JII N° 01/05° WALT DISNEY,AVDA. CASEROS 1555,01
0200252,5,JII N° 02/05° ANTONINO ABERASTAIN,SAN ANTONIO 1136,02
0200253,5,PI ESPACIO HUELLITAS - ESC. DE COM. N° 18 REINO DE SUECIA - EEM N° 01/05° E.REINGRESO N. J.MORRESI - PI ESPACIO NOCHERITOS,JUAN CARLOS GOMEZ 253,18-01
0200254,5,ESC. TEC. N° 04 REPUBLICA DEL LIBANO,AVDA. MANUEL MONTES DE OCA 121,04
0200255,5,ESC. INTEGRAL INTERDISCIPLINARIA N° 05,JOSE A. CORTEJARENA 3350,05
0200256,5,ESC. TEC. N° 10 FRAY LUIS BELTRAN - LICEO COM. N° 03 J. M. ESTRADA - [A],VIEYTES 942,10-03
0200257,5,ESC. TEC. N° 14 LIBERTAD,SANTA MAGDALENA 431,14
0200259,5,ENS N° 05 GRAL.  M. M. DE GÜEMES (SEDE) - LICEO COM. N° 03 JOSE MANUEL ESTRADA,ARCAMENDIA 743,05-03
0200261,5,PI SOL DE NOCHE - JII N° 10/05° - CAIYJ ZAVALETA,AVDA. GRAL. IRIARTE 3880,10
0200262,5,IFTS Nº 11 DE 05 - ESC. TEC. N° 07 DOLORES LAVALLE DE LAVALLE - CAIYJ CLUB PARQUE PATRICIOS - CFP N° 36,ZAVALETA 204,11-05-07-36
0200266,5,CENTRO EDUCATIVO PARA NIÑOS EN TIEMPOS Y ESPACIOS SINGULARES N° 01 - CFP Nº02 (ANEXO),DR. RAMON CARRILLO 317,01-02
0200268,5,ESC. HOSP. N° 03 DR. PEDRO DE ELIZALDE,AVDA. MANUEL MONTES DE OCA 16,03
0200280,5,JII Nº 14/05º,MANUEL GARCIA 370,14
0200281,5,CAEBYT N° 47 - EEM N° 06/05° - EPC N° 12 HORACIO QUIROGA - CAIYJ CLUB BARRACAS SUR - CFP N° 09 POLO EDUCATIVO BARRACAS - ESCUELA INF. N° 12/05° - Casa de la Cultura,RIO CUARTO Y MONTESQUIEU,47-06-12-09-12
0200290,5,CFP Nº02 - CENS N° 49,BRANDSEN 2570,02-49
0200293,5,ENS N° 05 GRAL. M. M. DE GÜEMES ([A]),AVDA. SUAREZ 2123,05
0200294,6,EPA N° 01 ESTEBAN DE LUCA - EPC N° 01 ESTEBAN DE LUCA - JIN A (EPCJS 01/06°),ADOLFO ALSINA 2499,01-01-01
0200295,6,EPC N° 02 JOSE MARIA GUTIERREZ,LA RIOJA 1846,02
0200296,6,JIN A (EPCJC 03/06°) [S] - EPC N° 03 RUFINO SANCHEZ,LA RIOJA 850,03-03
0200297,6,EPC N° 04 SALVADOR MARIA DEL CARRIL - JIN B (EPCJS 04/06°) MAESTRO F. REYES,QUINTINO BOCAYUVA 620,04-04
0200298,6,CENS N° 70 - EPC N° 05 PAUL GROUSSAC,CATAMARCA 462,70-05
0200299,6,EPC N° 06 DR. GUILLERMO CORREA - JIC N° 03/06° - CAIYJ CLUB DE CHICOS BALVANERA,SAAVEDRA 695,06-03
0200300,6,EPC N° 07 OLEGARIO VICTOR ANDRADE - CECIE N° 06,24 DE NOVIEMBRE 1536,07-06
0200301,6,EPC N° 10 FRANCISCO DE GURRUCHAGA,AVDA. JUJUY 1471,10
0200302,6,CONSERVATORIO SUPERIOR DE MÚSICA MANUEL DE FALLA - ANEXO 3 - JIN B (EPCJC 11/06°) MAESTRO F.REYES [S] - EPC N° 11 JOSE FEDERICO MORENO,HUMBERTO I° 3171,3-11-11
0200303,6,EPC N° 12 REPUBLICA DEL PARAGUAY - CENOF CENT.MUN.DEL TANGO-ESC.PRIM.12/06,AGRELO 3231,12-12
