n_proyecto,proy,cui,escuela,direccion,intervenciones,estado,subestado,fuente,programa,ano_plan,avance_de_obra_real,dgar,inicio_obra,plazo_obra,ampliacion_de_plazo,fin_obra,ppto_estimado
x102,x192,200528,escuelas tecnicas raggio de 10,libertador 8635,"accesibilidad: ejecución de ascensor y sala de maquina (exterior), adecuación de rampa existente y adecuación de sanitario pcd existente.
mejora edilicia: pintura de aulas de pb del edificio nuevo (pisos superiores dgmesc), revoque y pintura en circulación de edificio histórico pb y 1er piso. revoque, pintura y solados en circulación entre talleres. mejoras de marcos de carpinterías.
reja de seguridad con concertina superior en fuelle entre el pasadizo de ascensor y edificio existente. (para evitar que alguien ingrese por libertador y se esconda en ese espacio)
reja de seguridad corrediza para proteger sector de bicicletas. (se retira reja deteriorada con ubicación actual para generar el playón de acceso al ascensor)
mejoras en escalera exterior en taller de informática en área del fondo.( necesita pasamanos adecuados en ambos laterales, pintura de solado y reemplazo de cintas antideslizantes, ya que se han tropezado alumnos según se nos informó).
ampliación de taller de carpintería (ee timm), nueva aula en primer piso del taller.
instalaciones: eléctrica en sector histórico y termomecanica (unificar criterio de calefacción y/o refrigeración para el sector de aulas.)",licitación,licitación,f11,mejora edilicia,2024,NA,6/11/2023,5/03/2024,365,-,5/03/2025,"$1.028.769.718,40"
x103,x088,200568,hipolito bouchard,avelino diaz 2356,"evaluacion estructural de varias fisura (muros de aula, cocina y escaler). expte?
plan mejora de patio+muros+acond gas-electricidad+ sanitarios y pintura en areas significativaspatios amerita mejora en pisos y pintura. humedad ascendente en medianera de aulas y comedor. acondicionamiento de cielorrasos dela circulación del primer piso. acondicionamiento de instalacion electrica y termomecanica. acondicionamiento del sanitarios del piso 1. la accesibilidad si bien es básica amerita resolución de algunos desniveles internos en sus recorridos.",en proyecto,cyp,f11,mejora edilicia,2024,NA,17/12/2023,15/04/2024,270,x,10/1/2025,"$180.000.000,00"
x104,x209,200593,cnel. de marina leonardo rosales,mercedes 1405,espacio de sombra con impermeabilizacion,en obra,en obra,f11,mejora edilicia,2024,0%,3/08/2023,1/12/2023,120,x,30/03/2024,"$56.224.828,56"
x105,x101,200625,epc n° 07 recuerdos de provincia,ex yrurtia  - alberdi 4754,"completo o por etapas de obra / acondicionamiento de aulas, sanitarios y pintura general",planificado,planificado,f11,obra nueva,2024,NA,NA,NA,NA,NA,NA,NA
x106,x332,200638,pedro inchauspe,rodo 4431,instalacion electrica,planificado,planificado,f11,mejora edilicia,2024,NA,28/05/2024,25/09/2024,210,NA,NA,"$180.000.000,00"
x107,x235,200640,sara de elia de gimenez,bruix 4620,"adecuación de la instalación eléctrica. acondicionamiento de sanitarios. puesta en valor de carpinterías, parasoles y rejas. fisuras: reparación de mampostería y fisuras en aulas. patios: solados, muros, humedad ascendente. arreglo integral de patio de aire y luz. pintura general.",licitación,licitación,f11,mejora edilicia,2024,NA,7/11/2023,6/03/2024,240,x,1/11/2024,"$285.844.812,90"
x108,x181,200641,esc. de com. nº 32 jose leon suarez de 13,acassuso 5860 sede,"sede: sanitarios a nuevos, impermeabilizaciones, pintura (20mm), reparaciones varias, adecuacion de carpinterias, ie completa y cambio e canaletas y sesagues pluviales.",licitación,licitación,f11,mejora edilicia,2024,NA,11/11/2023,10/03/2024,270,x,5/12/2024,"$366.062.846,06"
x109,x181,200655,esc. de com. nº 32 jose leon suarez de 13,acassuso 6138 anexo,"anexo: solado de los balcones, bicicletero, cortinas roller, adecuacion en sala de musica, pintura y arreglo de fachada, reparacion de carpinterias, patio: demarcacion de canchas, pintura y cerco de alambre. refuncionalizacion de sala de tanque. ie completa.",licitación,licitación,f11,mejora edilicia,2024,NA,11/11/2023,10/03/2024,270,x,5/12/2024,"$366.062.846,06"
x110,x211,200661,enrique de vedia,combatientes de malvinas 3234,instalacion electrica,en obra,en obra,f11,mejora edilicia,2024,41%,15/05/2023,12/09/2023,150,x,9/02/2024,"$ 54.450.127,64"
x111,x059,200665,erminia brumana,fitz roy 171,"accesibilidad basica,  cubierta, pintura hall y patio. instalacion electrica completa",licitación,licitación,f11,mejora edilicia,2024,NA,18/10/2023,15/02/2024,240,x,12/10/2024,"$192.720.101,63"
x112,x021,200707,jorge angel boero,juramento 4849,inst electrica completa,en obra,en obra,f11,mejora edilicia,2024,1%,16/06/2023,14/10/2023,150,-,12/03/2024,"$107.941.827,74"
x113,x322,200711,esc primaria n°12 españa,valdenegro 3525,"intervención completa de fachadas de valdenegro, incluidas las del contrafrente sobre la calle miller y las caras interiores no contempladas en obra de ampliación nes, patios, reparación de humedades en mamposterías, acondicionamiento de patios, reparación de carpinterías, acondicionamiento de sanitarios de docentes, acondicionamiento de instalación de provisión de agua y reparacion de tanques ( sistema integral para ambas escuelas), revisión de cubiertas e instalación pluvial.
en media pintura general de los sectores requeridos que no hayan sido intervenidos por la obra de ampliación ni por sdf ejecutada por dgmesc.
en primaria pintura integral, acondicionamiento de instalación eléctrica y accesibilidad plena.",planificado,planificado,f11,mejora edilicia,2024,NA,30/08/2024,15/04/2024,300,NA,10/1/2025,"$160.000.000,00"
x114,x257,200723,petronila rodriguez,andonaegui 1532,amplicacion,licitación,licitación,f11,mejora edilicia,2024,NA,20/09/2023,18/01/2024,365,30,16/2/2025,"$307.375.179,69"
x115,x321,200727,esc de comercio n°15 cecilia grierson,valdenegro  3523,"intervención completa de fachadas de valdenegro, incluidas las del contrafrente sobre la calle miller y las caras interiores no contempladas en obra de ampliación nes, patios, reparación de humedades en mamposterías, acondicionamiento de patios, reparación de carpinterías, acondicionamiento de sanitarios de docentes, acondicionamiento de instalación de provisión de agua y reparacion de tanques ( sistema integral para ambas escuelas), revisión de cubiertas e instalación pluvial.
en media pintura general de los sectores requeridos que no hayan sido intervenidos por la obra de ampliación ni por sdf ejecutada por dgmesc.
en primaria pintura integral, acondicionamiento de instalación eléctrica y accesibilidad plena.",planificado,planificado,f11,mejora edilicia,2024,NA,29/08/2024,15/04/2024,300,NA,10/1/2025,"$90.000.000,00"
x116,x075,200729,"esc. para niños, niñas y jovenes con pluridiscapacidad motora nº 11 dr. aquiles gareiso de 15",quesada 4357,acondicionamiento de pisos y cielorraso. revision de instalacion electrica.  provisión de agua. arreglo de revoque en fachada internas. adecuacion de sanitarios. pintura completa. humedad de cimiento sobre medianera. intervencion casa del casero.,en obra,en obra,f11,mejora edilicia,2024,0%,27/07/2023,24/11/2023,240,NA,21/07/2024,"$169.388.578,60"
x117,x106,200746,gral maximo de zamudio,jose cubas 4440,"ie completa, accesibildiad (solo baño de discapacitados), impermeabilizacion, pintura y puesta envalor de casa del casero para uso administrativo.",licitación,licitación,f11,mejora edilicia,2024,NA,26/08/2023,24/12/2023,180,x,21/06/2024,"$133.643.145,39"
x118,x048,200755,gregoria matorras y del ser de san martin,vallejos 2555,"etapa i2020 adecuacion espacios aulicos y ampliacion comedor pintura, accesibilidad",en proyecto,en proyecto,f11,mejora edilicia,2024,NA,23/02/2024,22/06/2024,270,NA,19/03/2025,"$210.000.000,00"
x119,x223,200759,belisario roldan,franco 2390,plan mejora de  fachada+ patio+ carpinteria + sanitario + inst gas + inst electrica+ sanitario+ cubierta + revoques y pintura en areas significativas,planificado,planificado,f11,mejora edilicia,2024,NA,3/06/2024,1/10/2024,300,NA,28/7/2025,"$130.000.000,00"
x120,x237,200763,"escuela para niños, niñas, jóvenes y adultos con discapacidad mental y formación integral n° 21 - rosario vera peñaloza",obispo san alberto 2379,"plan mejora edif historico adecuacion fachada+ patio+ cielorraso+ carpinteria+ inst gas-calefaccion + inst electrica + acond sanitarios y prov de agua , reparacion revoques y pintura en areas significativas +accesibilidad plena",planificado,planificado,f11,mejora edilicia,2024,NA,13/06/2024,11/10/2024,330,NA,6/09/2025,"$270.000.000,00"
x121,x069,200777,jose ernesto galloni,helguera 2435,accesibilidad básica. puesta en valor de carpinterías (algunas sin vidrio de seguridad o policarbonato y elementos corroídos). adecuación de instalación eléctrica. acondicionamiento de la instalación de gas y termomecánic. arreglo de humedad y revoques. pintura,en proyecto,en proyecto,f11,mejora edilicia,2024,NA,9/12/2023,7/04/2024,210,x,3/11/2024,"$293.819.048,18"
x122,NA,200797,"esc. para niños, niñas, jóvenes y adultos con discapacidad mental y formación integral n° 02 domingo f sarmiento",pedro lozano 3056,impermeabilizacion parcial y pintura de cielorrasos. albañileria. reparacion de escaleras. humedad de cimientos.,en obra,en obra,f11,mejora edilicia,2024,0%,3/07/2023,31/10/2023,300,NA,NA,"$188.184.977,22"
x123,x246,200811,provincia de misiones,lascano 4044,"adecuacion de patios, arreglo de muros, istalacion de gas y electrica, sanitarios, accesibilidad basica y pintura",en proyecto,en proyecto,f11,mejora edilicia,2024,NA,3/01/2024,2/05/2024,270,NA,27/01/2025,"$180.000.000,00"
x124,x215,200856,presbitero alberti,itaqui 2050 / charrua 2850,"instalacion electrica, termo, patio (arreglo de sus carpintrerias y muros), fachadas, sellado de lucarnas y pintura",en proyecto,instalaciones,f11,mejora edilicia,2024,NA,17/01/2024,16/05/2024,330,NA,11/04/2025,"$300.000.000,00"
x125,x329,200859,jic n° 08/19°,avda. lafuente 2670,NA,planificado,planificado,f11,mejora edilicia,2024,NA,25/08/2024,23/12/2024,330,NA,18/11/2025,NA
x126,x255,200873,avda. salvador maría del carril 4957 y lastra,polideportivo lastra,"plan mejoras, solados, canchas, adecuacion sanitarios, cubiertas y pintura",planificado,planificado,f11,ampliacion,2024,NA,24/05/2024,21/09/2024,360,x,16/9/2025,NA
x127,x217,200892,jii nº 14 de 19,varela 1802   -daom,instalacion de gas,licitación,licitación,f11,mejora edilicia,2024,NA,29/09/2023,15/01/2024,120,NA,14/05/2024,"$38.186.303,88"
x128,x212,200906,jose maria torres,avda. larrazabal 420,instalacion electrica,en obra,en obra,f11,mejora edilicia,2024,5%,27/07/2023,24/11/2023,150,NA,22/4/2024,"$105.886.263,20"
x129,x304,200922,cfp nº 04 de 20,carhue 2970,"mejora de estructura, reparacion de fisuras, revoques y pintura, accesibilidad",planificado,planificado,f11,mejora edilicia,2024,NA,14/08/2024,12/12/2024,300,NA,8/10/2025,"$90.000.000,00"
x130,x234,200949,provincia de tucuman,riestra 5030,"plan mejora en   adecuacion   cocina , comedor ,  cubierta  y reparacion revoques y pintura en areas significativas + evaluacion estado polideportivo.",planificado,planificado,f11,mejora edilicia,2024,NA,5/06/2024,3/10/2024,330,NA,29/08/2025,"$160.000.000,00"
x131,x297,200950,armada argentina,fangio - larrazabal 4520,terreno propio sobrante escuela larrazabal ex beron de astrada 6351,planificado,planificado,f11,remplazo,2024,NA,NA,NA,NA,NA,NA,NA
x132,x080,200962,esc. de com. nº 12 juan xxiii de 21,aquino 6040 - region v,"instalacion electrica completa, remodelacion de nucleo sanitario en pb y nucleos sanitarios a nuevos en 1 y 2 piso. accesibilida plena (ascensor, solado rampante en gym y baño de disca en 2 piso). ampliacion de 4 aulas (3 jin). pintura. calefaccion.",licitación,licitación,f11,mejora edilicia,2024,NA,27/10/2023,1/04/2024,360,x,31/1/2025,"$569.636.899,00"
x133,x103,201864,esc. de educ. media nº 02 de 13,lacarra 1151 y avda. francisco bilbao,"fachadas exteriores (desprendimiento de pintura y revoques), humedad en subsuelo y levantamiento de solado, aulas en mal estado (placas de cielorraso faltantes, pinturas con grafitis), patio cubierto con filtración por cubierta de vidrio. baños: filtración, faltante de cerámicos y artefactos de luz. pintura en general.",licitación,licitación,f11,mejora edilicia,2024,NA,30/10/2023,27/02/2024,330,x,22/01/2025,"$270.975.545,54"
x134,x053,202188,escuela técnica 36 d.e. 15 - alte. brown,polo saavedra,reja,en proyecto,cyp,f11,ampliacion,2024,NA,5/01/2024,4/05/2024,90,x,2/08/2024,NA
x135,x090,202391,jii nº 14 de 21,dr. antonio bermejo 6675 -modulares,adaptacion de modulares en un cfp / acceso independiente / cambiar sanitarios / instalaciones/ aula,en obra,en obra,f11,mejora edilicia,2024,10%,26/06/2023,24/10/2023,180,NA,21/04/2024,"$47.092.855,21"
x136,x100,202669,villa olimpica,villa olimpica - villa olimpica - jose benjamin zubiaur 4180,"sistema de alarma primaria, limpieza de terreno y cortinas. ver posibilidad de incorporar mas tareas.",en obra,en obra,f11,mejora edilicia,2024,0%,17/06/2023,1/11/2023,300,x,27/08/2024,"$414.271.095,70"
x137,x300,202669,villa olimpica,villa olimpica - villa olimpica - 23 de junio 4155,"sistema de alarma primaria, limpieza de terreno y cortinas. ver posibilidad de incorporar mas tareas.",licitación,licitación,f11,mejora edilicia,2024,NA,17/06/2023,1/11/2023,300,x,27/08/2024,"$414.271.095,70"
x138,x193,NA,maternidad sarda,la rioja 1945 - reemplazo maternidad sarda,obra nueva reemplazo maternal e inicial,en proyecto,en proyecto,f11,remplazo,2024,NA,30/03/2024,28/07/2024,540,-,19/01/2026,"$700.000.000,00"
x139,x262,NA,parque de la ciudad,parque de la ciudad -  avda. f.f. de la cruz s/n,"pileta, rejas, provision de cable y parquizacion",licitación,licitación,f11,mejora edilicia,2024,NA,31/08/2023,29/12/2023,120,x,27/04/2024,"$95.772.377,60"
x140,x302,NA,nueva sede escuela esc. para niños y niñas con discapacidad mental n° 14 constancio c. vigil,estados unidos 1750 / independencia 668,"accesibilidad plena, instalacion electrica, calefaccion, sum, cocina, patios, pintura general",en proyecto,en proyecto,f11,mejora edilicia,2024,NA,13/02/2024,12/06/2024,210,-,8/01/2025,"$280.000.000,00"
x141,x308,NA,NA,polideportivo lascano x2,"adecuacion de playon polideportivo para primaria y media sobre terreno lateral y relleno de pileta existente en sector inicial para patio exterior, instalacion electrica exterior pintura de canchas",planificado,planificado,f11,mejora edilicia,2024,NA,4/09/2024,2/01/2025,NA,NA,NA,NA
x142,x312,NA,compra abierta,reparacion de cubiertas,plan integral de mejora en cubiertas plan 54,planificado,planificado,f11,mejora edilicia,2024,NA,NA,NA,NA,NA,NA,NA
x143,x313,NA,compra abierta,reparacion de fachadas,plan integral de mejora en fisuras en fachadas plan 54,planificado,planificado,f11,mejora edilicia,2024,NA,NA,NA,NA,NA,NA,NA
x144,NA,NA,polo mugica,letonia y avda. antártida argentina,"reparacion de filtraciones, revestimientos",planificado,a iniciar proyecto,f11,mejora edilicia,2024,NA,8/04/2024,6/08/2024,240,NA,3/04/2025,NA
x145,x307,200007,escuela primaria común n° 07 - presidente roca,libertad 581 - 2 etapa,"reparacion de revoques, pintura de sector no incluido en pliego",planificado,planificado,f11,mejora edilicia,2025,NA,29/11/2024,29/03/2025,360,NA,24/03/2026,NA
x146,x068,200009,familia de cabezon,tte. gral. juan domingo peron 1140,"adecuacion de cubierta , sanitario ,electricidad , cielorraso , carpinteria.  arreglo de revoques  en aulas y patio .   adecuacion pintura interior de areas significantes  y patio",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x147,x336,200086,supervisión de nivel primaria de 02,avda. pueyrredon 630,adecuacion de pileta y sus instalaciones plan mejora de patio+muros+acond gas-electricidad+ sanitarios y pintura en areas significativas,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x148,x337,200093,tomas manuel de anchorena,dr. tomas manuel de anchorena 855,"adecuacion de sanitarios, pintura, instalacion electrica e incendio",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x149,NA,200094,NA,jean jaures 870,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x150,x327,200106,esea en danza ramicone curso vocacional de folklore n° 10,bulnes 45,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x151,x310,200142,centro integrador almafuerte,avda. san juan 2128,"pintura general, adecuacion sanitarios, cubiertas, accesibilidad basica, ampliacion sector polideportivo",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x152,NA,200144,NA,av. larrazabal 5130,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x153,x228,200177,carlos della penna,braun menendez 260/manuel galvez 156,"impermeabilización de azoteas. reparación de carpinterías existentes del primer piso con problemas de oxidación. pintura de rejas en planta alta, nivel a y b. reparaciones en fachadas de patio interno en planta baja:pintura y limpieza. intervención de solados – mal estado. demolición de mesadas en dos aulas del nivel inicial. provisión y colocación de bicicletero en el acceso del edificio. trabajos varios de jardinería en canteros. accesibilidad: provisión y colocación de ascensor para comunicar la planta baja y primer piso. ejecución de rampa para salvar un desnivel entre primer piso y la azotea.",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x154,x250,200187,presidente derqui,california 1925,"plan mejora en   adecuacion   inst electrica , patio , muros ,carpinteria  y  pintura en areas significativas",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x155,x225,200197,esc.sup.de edu. artistica en artes visuales manuel belgrano,w villafañe 1342,"plan mejora en   adecuacion   inst electrica , patio , muros ,carpinteria, sanitarios, cubierta  y  pintura en areas significativas",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x156,x315,200214,eem n° 02/04° e.reingreso,avda. regimiento de patricios 1933,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
